구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
강남구,2016-01-01,76,46
강남구,2016-01-02,49,28
강남구,2016-01-03,98,57
강남구,2016-01-04,89,50
강남구,2016-01-05,32,15
강남구,2016-01-06,60,28
강남구,2016-01-07,42,19
강남구,2016-01-08,33,16
강남구,2016-01-09,36,18
강남구,2016-01-10,31,17
강남구,2016-01-11,40,20
강남구,2016-01-12,53,22
강남구,2016-01-13,38,19
강남구,2016-01-14,49,19
강남구,2016-01-15,50,26
강남구,2016-01-16,66,37
강남구,2016-01-17,66,40
강남구,2016-01-18,63,32
강남구,2016-01-19,37,12
강남구,2016-01-20,39,20
강남구,2016-01-21,57,28
강남구,2016-01-22,55,26
강남구,2016-01-23,33,14
강남구,2016-01-24,41,19
강남구,2016-01-25,54,15
강남구,2016-01-26,83,34
강남구,2016-01-27,69,29
강남구,2016-01-28,64,30
강남구,2016-01-29,52,22
강남구,2016-01-30,39,22
강남구,2016-01-31,42,19
강남구,2016-02-01,42,18
강남구,2016-02-02,50,21
강남구,2016-02-03,64,32
강남구,2016-02-04,56,27
강남구,2016-02-05,48,19
강남구,2016-02-06,53,22
강남구,2016-02-07,52,22
강남구,2016-02-08,69,36
강남구,2016-02-09,59,27
강남구,2016-02-10,44,22
강남구,2016-02-11,48,22
강남구,2016-02-12,40,23
강남구,2016-02-13,16,10
강남구,2016-02-14,31,17
강남구,2016-02-15,36,10
강남구,2016-02-16,29,15
강남구,2016-02-17,40,13
강남구,2016-02-18,42,20
강남구,2016-02-19,88,38
강남구,2016-02-20,54,17
강남구,2016-02-21,27,11
강남구,2016-02-22,46,16
강남구,2016-02-23,58,25
강남구,2016-02-24,35,16
강남구,2016-02-25,50,24
강남구,2016-02-26,49,25
강남구,2016-02-27,67,37
강남구,2016-02-28,54,27
강남구,2016-02-29,59,26
강남구,2016-03-01,32,16
강남구,2016-03-02,37,19
강남구,2016-03-03,49,25
강남구,2016-03-04,73,35
강남구,2016-03-05,22,14
강남구,2016-03-06,96,22
강남구,2016-03-07,118,30
강남구,2016-03-08,92,21
강남구,2016-03-09,35,15
강남구,2016-03-10,34,14
강남구,2016-03-11,33,16
강남구,2016-03-12,42,19
강남구,2016-03-13,58,33
강남구,2016-03-14,65,42
강남구,2016-03-15,63,26
강남구,2016-03-16,68,30
강남구,2016-03-17,77,36
강남구,2016-03-18,71,35
강남구,2016-03-19,79,39
강남구,2016-03-20,83,42
강남구,2016-03-21,86,46
강남구,2016-03-22,69,38
강남구,2016-03-23,83,49
강남구,2016-03-24,37,20
강남구,2016-03-25,72,33
강남구,2016-03-26,68,38
강남구,2016-03-27,69,41
강남구,2016-03-28,69,36
강남구,2016-03-29,97,49
강남구,2016-03-30,102,49
강남구,2016-03-31,53,20
강남구,2016-04-01,73,28
강남구,2016-04-02,80,36
강남구,2016-04-03,59,30
강남구,2016-04-04,27,12
강남구,2016-04-05,57,21
강남구,2016-04-06,72,29
강남구,2016-04-07,46,27
강남구,2016-04-08,85,39
강남구,2016-04-09,131,63
강남구,2016-04-10,155,75
강남구,2016-04-11,47,19
강남구,2016-04-12,58,27
강남구,2016-04-13,62,34
강남구,2016-04-14,61,32
강남구,2016-04-15,58,27
강남구,2016-04-16,56,25
강남구,2016-04-17,50,18
강남구,2016-04-18,68,23
강남구,2016-04-19,49,22
강남구,2016-04-20,67,31
강남구,2016-04-21,30,18
강남구,2016-04-22,82,47
강남구,2016-04-23,222,43
강남구,2016-04-24,195,29
강남구,2016-04-25,89,25
강남구,2016-04-26,84,29
강남구,2016-04-27,54,16
강남구,2016-04-28,61,21
강남구,2016-04-29,67,28
강남구,2016-04-30,90,37
강남구,2016-05-01,46,22
강남구,2016-05-02,45,26
강남구,2016-05-03,18,10
강남구,2016-05-04,52,13
강남구,2016-05-05,50,21
강남구,2016-05-06,42,22
강남구,2016-05-07,127,21
강남구,2016-05-08,49,17
강남구,2016-05-09,55,21
강남구,2016-05-10,30,15
강남구,2016-05-11,27,14
강남구,2016-05-12,24,15
강남구,2016-05-13,35,22
강남구,2016-05-14,30,19
강남구,2016-05-15,28,20
강남구,2016-05-16,29,17
강남구,2016-05-17,57,36
강남구,2016-05-18,55,37
강남구,2016-05-19,42,20
강남구,2016-05-20,93,75
강남구,2016-05-21,31,26
강남구,2016-05-22,47,42
강남구,2016-05-23,52,49
