구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
강동구,2016-01-01,78,46
강동구,2016-01-02,55,31
강동구,2016-01-03,94,54
강동구,2016-01-04,82,42
강동구,2016-01-05,29,12
강동구,2016-01-06,65,30
강동구,2016-01-07,49,23
강동구,2016-01-08,39,18
강동구,2016-01-09,45,22
강동구,2016-01-10,32,16
강동구,2016-01-11,41,20
강동구,2016-01-12,62,26
강동구,2016-01-13,47,22
강동구,2016-01-14,51,24
강동구,2016-01-15,58,31
강동구,2016-01-16,69,38
강동구,2016-01-17,65,41
강동구,2016-01-18,68,34
강동구,2016-01-19,39,11
강동구,2016-01-20,45,22
강동구,2016-01-21,63,33
강동구,2016-01-22,69,34
강동구,2016-01-23,33,13
강동구,2016-01-24,43,18
강동구,2016-01-25,53,17
강동구,2016-01-26,87,35
강동구,2016-01-27,78,34
강동구,2016-01-28,69,31
강동구,2016-01-29,49,21
강동구,2016-01-30,36,20
강동구,2016-01-31,44,20
강동구,2016-02-01,46,18
강동구,2016-02-02,58,26
강동구,2016-02-03,71,32
강동구,2016-02-04,69,34
강동구,2016-02-05,56,22
강동구,2016-02-06,57,26
강동구,2016-02-07,61,26
강동구,2016-02-08,73,35
강동구,2016-02-09,62,30
강동구,2016-02-10,47,23
강동구,2016-02-11,51,25
강동구,2016-02-12,35,22
강동구,2016-02-13,18,11
강동구,2016-02-14,31,17
강동구,2016-02-15,35,13
강동구,2016-02-16,32,15
강동구,2016-02-17,44,18
강동구,2016-02-18,46,21
강동구,2016-02-19,94,39
강동구,2016-02-20,62,26
강동구,2016-02-21,28,13
강동구,2016-02-22,49,20
강동구,2016-02-23,55,24
강동구,2016-02-24,38,18
강동구,2016-02-25,50,24
강동구,2016-02-26,49,26
강동구,2016-02-27,74,40
강동구,2016-02-28,51,32
강동구,2016-02-29,56,27
강동구,2016-03-01,37,19
강동구,2016-03-02,40,20
강동구,2016-03-03,56,29
강동구,2016-03-04,76,35
강동구,2016-03-05,21,14
강동구,2016-03-06,85,29
강동구,2016-03-07,117,38
강동구,2016-03-08,72,26
강동구,2016-03-09,53,20
강동구,2016-03-10,38,17
강동구,2016-03-11,41,19
강동구,2016-03-12,53,22
강동구,2016-03-13,69,33
강동구,2016-03-14,76,45
강동구,2016-03-15,66,32
강동구,2016-03-16,71,32
강동구,2016-03-17,86,41
강동구,2016-03-18,77,37
강동구,2016-03-19,81,37
강동구,2016-03-20,86,41
강동구,2016-03-21,89,45
강동구,2016-03-22,74,38
강동구,2016-03-23,83,43
강동구,2016-03-24,37,21
강동구,2016-03-25,71,33
강동구,2016-03-26,71,37
강동구,2016-03-27,70,38
강동구,2016-03-28,71,34
강동구,2016-03-29,99,45
강동구,2016-03-30,101,45
강동구,2016-03-31,55,24
강동구,2016-04-01,75,32
강동구,2016-04-02,80,36
강동구,2016-04-03,63,33
강동구,2016-04-04,27,12
강동구,2016-04-05,58,20
강동구,2016-04-06,75,30
강동구,2016-04-07,38,22
강동구,2016-04-08,80,35
강동구,2016-04-09,122,54
강동구,2016-04-10,148,58
강동구,2016-04-11,42,17
강동구,2016-04-12,58,25
강동구,2016-04-13,62,32
강동구,2016-04-14,64,31
강동구,2016-04-15,60,27
강동구,2016-04-16,58,26
강동구,2016-04-17,49,16
강동구,2016-04-18,74,22
강동구,2016-04-19,49,22
강동구,2016-04-20,70,31
강동구,2016-04-21,30,17
강동구,2016-04-22,84,46
강동구,2016-04-23,212,39
강동구,2016-04-24,179,25
강동구,2016-04-25,87,24
강동구,2016-04-26,86,28
강동구,2016-04-27,56,16
강동구,2016-04-28,63,19
강동구,2016-04-29,67,26
강동구,2016-04-30,82,37
강동구,2016-05-01,52,23
강동구,2016-05-02,50,26
강동구,2016-05-03,18,10
강동구,2016-05-04,54,12
강동구,2016-05-05,60,21
강동구,2016-05-06,50,24
강동구,2016-05-07,158,27
강동구,2016-05-08,58,17
강동구,2016-05-09,67,22
강동구,2016-05-10,35,15
강동구,2016-05-11,29,13
강동구,2016-05-12,34,15
강동구,2016-05-13,40,22
강동구,2016-05-14,35,19
강동구,2016-05-15,39,21
강동구,2016-05-16,34,16
강동구,2016-05-17,68,34
강동구,2016-05-18,59,30
강동구,2016-05-19,40,19
강동구,2016-05-20,52,27
강동구,2016-05-21,44,27
강동구,2016-05-22,56,37
강동구,2016-05-23,71,45
강동구,2016-05-24,37,26
강동구,2016-05-25,90,57
강동구,2016-05-26,119,71
강동구,2016-05-27,99,55
강동구,2016-05-28,82,39
강동구,2016-05-29,85,39
강동구,2016-05-30,95,50
강동구,2016-05-31,96,50
강동구,2016-06-01,46,24
강동구,2016-06-02,38,18
강동구,2016-06-03,50,26
강동구,2016-06-04,62,33
강동구,2016-06-05,52,30
강동구,2016-06-06,24,15
강동구,2016-06-07,43,26
강동구,2016-06-08,42,26
강동구,2016-06-09,50,28
강동구,2016-06-10,70,40
강동구,2016-06-11,52,32
강동구,2016-06-12,30,21
강동구,2016-06-13,64,38
강동구,2016-06-14,58,33
강동구,2016-06-15,36,23
강동구,2016-06-16,30,19
강동구,2016-06-17,54,36
강동구,2016-06-18,66,43
강동구,2016-06-19,45,30
강동구,2016-06-20,53,34
강동구,2016-06-21,67,44
강동구,2016-06-22,70,49
강동구,2016-06-23,40,25
강동구,2016-06-24,46,29
강동구,2016-06-25,33,18
강동구,2016-06-26,35,20
강동구,2016-06-27,38,22
강동구,2016-06-28,59,37
강동구,2016-06-29,38,25
강동구,2016-06-30,29,19
강동구,2016-07-01,21,13
강동구,2016-07-02,15,10
강동구,2016-07-03,37,26
강동구,2016-07-04,24,14
강동구,2016-07-05,12,9
강동구,2016-07-06,19,9
강동구,2016-07-07,45,27
강동구,2016-07-08,55,33
강동구,2016-07-09,39,23
강동구,2016-07-10,39,25
강동구,2016-07-11,56,38
강동구,2016-07-12,41,30
강동구,2016-07-13,38,22
강동구,2016-07-14,25,16
강동구,2016-07-15,19,10
강동구,2016-07-16,9,5
강동구,2016-07-17,15,11
강동구,2016-07-18,30,19
강동구,2016-07-19,39,22
강동구,2016-07-20,37,23
강동구,2016-07-21,31,20
강동구,2016-07-22,36,22
강동구,2016-07-23,47,30
강동구,2016-07-24,41,27
강동구,2016-07-25,42,32
강동구,2016-07-26,34,25
강동구,2016-07-27,35,24
강동구,2016-07-28,54,39
강동구,2016-07-29,46,31
강동구,2016-07-30,41,30
강동구,2016-07-31,44,30
강동구,2016-08-01,39,24
강동구,2016-08-02,29,16
강동구,2016-08-03,30,18
강동구,2016-08-04,34,21
강동구,2016-08-05,39,23
강동구,2016-08-06,62,38
강동구,2016-08-07,44,31
강동구,2016-08-08,41,26
강동구,2016-08-09,28,20
강동구,2016-08-10,61,41
강동구,2016-08-11,41,25
강동구,2016-08-12,48,30
강동구,2016-08-13,41,29
강동구,2016-08-14,39,31
강동구,2016-08-15,42,27
강동구,2016-08-16,48,32
강동구,2016-08-17,46,29
강동구,2016-08-18,60,37
강동구,2016-08-19,65,42
강동구,2016-08-20,33,21
강동구,2016-08-21,27,18
강동구,2016-08-22,32,19
강동구,2016-08-23,34,20
강동구,2016-08-24,44,26
강동구,2016-08-25,40,24
강동구,2016-08-26,15,6
강동구,2016-08-27,15,5
강동구,2016-08-28,12,4
강동구,2016-08-29,20,8
강동구,2016-08-30,30,9
강동구,2016-08-31,19,7
강동구,2016-09-01,71,35
강동구,2016-09-02,39,26
강동구,2016-09-03,23,13
강동구,2016-09-04,22,12
강동구,2016-09-05,31,14
강동구,2016-09-06,52,34
강동구,2016-09-07,76,54
강동구,2016-09-08,53,31
강동구,2016-09-09,48,28
강동구,2016-09-10,45,26
강동구,2016-09-11,41,25
강동구,2016-09-12,35,18
강동구,2016-09-13,19,8
강동구,2016-09-14,32,20
강동구,2016-09-15,44,27
강동구,2016-09-16,57,38
강동구,2016-09-17,33,22
강동구,2016-09-18,26,14
강동구,2016-09-19,14,5
강동구,2016-09-20,19,9
강동구,2016-09-21,36,22
강동구,2016-09-22,45,27
강동구,2016-09-23,52,30
강동구,2016-09-24,62,37
강동구,2016-09-25,61,38
강동구,2016-09-26,56,33
강동구,2016-09-27,43,25
강동구,2016-09-28,40,21
강동구,2016-09-29,13,5
강동구,2016-09-30,30,13
강동구,2016-10-01,48,23
강동구,2016-10-02,30,17
강동구,2016-10-03,17,10
강동구,2016-10-04,34,14
강동구,2016-10-05,27,11
강동구,2016-10-06,49,21
강동구,2016-10-07,29,13
강동구,2016-10-08,22,10
강동구,2016-10-09,20,9
강동구,2016-10-10,31,10
강동구,2016-10-11,47,20
강동구,2016-10-12,64,32
강동구,2016-10-13,53,23
강동구,2016-10-14,81,45
강동구,2016-10-15,86,57
강동구,2016-10-16,59,43
강동구,2016-10-17,56,39
강동구,2016-10-18,65,36
강동구,2016-10-19,67,39
강동구,2016-10-20,77,44
강동구,2016-10-21,25,13
강동구,2016-10-22,40,19
강동구,2016-10-23,14,7
강동구,2016-10-24,19,8
강동구,2016-10-25,18,10
강동구,2016-10-26,45,21
강동구,2016-10-27,55,26
강동구,2016-10-28,45,19
강동구,2016-10-29,41,18
강동구,2016-10-30,33,14
강동구,2016-10-31,37,16
강동구,2016-11-01,26,11
강동구,2016-11-02,46,18
강동구,2016-11-03,47,24
강동구,2016-11-04,68,34
강동구,2016-11-05,82,46
강동구,2016-11-06,38,21
강동구,2016-11-07,37,22
강동구,2016-11-08,71,53
강동구,2016-11-09,50,30
강동구,2016-11-10,50,27
강동구,2016-11-11,56,27
강동구,2016-11-12,88,37
강동구,2016-11-13,74,36
강동구,2016-11-14,63,34
강동구,2016-11-15,73,26
강동구,2016-11-16,69,31
강동구,2016-11-17,92,43
강동구,2016-11-18,106,60
강동구,2016-11-19,70,42
강동구,2016-11-20,51,28
강동구,2016-11-21,72,32
강동구,2016-11-22,57,24
강동구,2016-11-23,48,15
강동구,2016-11-24,31,12
강동구,2016-11-25,46,24
강동구,2016-11-26,66,38
강동구,2016-11-27,69,44
강동구,2016-11-28,104,46
강동구,2016-11-29,50,26
강동구,2016-11-30,54,29
강동구,2016-12-01,64,30
강동구,2016-12-02,46,21
강동구,2016-12-03,67,34
강동구,2016-12-04,94,56
강동구,2016-12-05,101,63
강동구,2016-12-06,32,15
강동구,2016-12-07,61,30
강동구,2016-12-08,85,48
강동구,2016-12-09,42,28
강동구,2016-12-10,40,23
강동구,2016-12-11,41,24
강동구,2016-12-12,50,28
강동구,2016-12-13,65,37
강동구,2016-12-14,63,35
강동구,2016-12-15,44,20
강동구,2016-12-16,41,18
강동구,2016-12-17,64,32
강동구,2016-12-18,60,37
강동구,2016-12-19,43,24
강동구,2016-12-20,57,35
강동구,2016-12-21,43,26
강동구,2016-12-22,26,19
강동구,2016-12-23,60,40
강동구,2016-12-24,72,53
강동구,2016-12-25,56,40
강동구,2016-12-26,43,30
강동구,2016-12-27,49,30
강동구,2016-12-28,54,27
강동구,2016-12-29,41,18
강동구,2016-12-30,50,26
강동구,2016-12-31,62,40
강동구,2017-01-01,78,54
강동구,2017-01-02,119,81
강동구,2017-01-03,100,67
강동구,2017-01-04,64,38
강동구,2017-01-05,39,24
강동구,2017-01-06,22,13
강동구,2017-01-07,54,34
강동구,2017-01-08,29,19
강동구,2017-01-09,64,47
강동구,2017-01-10,38,18
강동구,2017-01-11,27,11
강동구,2017-01-12,34,17
강동구,2017-01-13,30,12
강동구,2017-01-14,52,11
강동구,2017-01-15,32,13
강동구,2017-01-16,58,29
강동구,2017-01-17,79,45
강동구,2017-01-18,120,75
강동구,2017-01-19,125,79
강동구,2017-01-20,61,39
강동구,2017-01-21,62,42
강동구,2017-01-22,90,24
강동구,2017-01-23,56,37
강동구,2017-01-24,51,34
강동구,2017-01-25,57,40
강동구,2017-01-26,69,47
강동구,2017-01-27,137,19
강동구,2017-01-28,42,13
강동구,2017-01-29,29,15
