구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
강북구,2016-01-01,77,52
강북구,2016-01-02,71,44
강북구,2016-01-03,107,66
강북구,2016-01-04,82,51
강북구,2016-01-05,30,18
강북구,2016-01-06,54,33
강북구,2016-01-07,36,22
강북구,2016-01-08,31,19
강북구,2016-01-09,36,22
강북구,2016-01-10,33,21
강북구,2016-01-11,33,21
강북구,2016-01-12,45,25
강북구,2016-01-13,37,22
강북구,2016-01-14,40,23
강북구,2016-01-15,54,34
강북구,2016-01-16,81,51
강북구,2016-01-17,83,55
강북구,2016-01-18,49,30
강북구,2016-01-19,27,14
강북구,2016-01-20,36,21
강북구,2016-01-21,52,30
강북구,2016-01-22,47,27
강북구,2016-01-23,26,14
강북구,2016-01-24,34,18
강북구,2016-01-25,38,17
강북구,2016-01-26,72,37
강북구,2016-01-27,59,32
강북구,2016-01-28,54,32
강북구,2016-01-29,53,32
강북구,2016-01-30,34,23
강북구,2016-01-31,36,21
강북구,2016-02-01,34,19
강북구,2016-02-02,41,24
강북구,2016-02-03,53,32
강북구,2016-02-04,51,33
강북구,2016-02-05,37,22
강북구,2016-02-06,45,28
강북구,2016-02-07,47,30
강북구,2016-02-08,64,43
강북구,2016-02-09,47,29
강북구,2016-02-10,30,22
강북구,2016-02-11,50,34
강북구,2016-02-12,36,27
강북구,2016-02-13,15,12
강북구,2016-02-14,21,15
강북구,2016-02-15,26,14
강북구,2016-02-16,24,16
강북구,2016-02-17,30,16
강북구,2016-02-18,42,26
강북구,2016-02-19,82,50
강북구,2016-02-20,45,26
강북구,2016-02-21,20,12
강북구,2016-02-22,36,21
강북구,2016-02-23,48,30
강북구,2016-02-24,26,18
강북구,2016-02-25,41,25
강북구,2016-02-26,43,28
강북구,2016-02-27,65,46
강북구,2016-02-28,45,32
강북구,2016-02-29,50,29
강북구,2016-03-01,24,16
강북구,2016-03-02,38,26
강북구,2016-03-03,51,33
강북구,2016-03-04,69,46
강북구,2016-03-05,20,15
강북구,2016-03-06,69,20
강북구,2016-03-07,96,26
강북구,2016-03-08,58,17
강북구,2016-03-09,38,12
강북구,2016-03-10,28,12
강북구,2016-03-11,32,16
강북구,2016-03-12,39,19
강북구,2016-03-13,60,38
강북구,2016-03-14,63,45
강북구,2016-03-15,52,30
강북구,2016-03-16,64,38
강북구,2016-03-17,63,38
강북구,2016-03-18,60,38
강북구,2016-03-19,69,38
강북구,2016-03-20,74,43
강북구,2016-03-21,85,52
강북구,2016-03-22,71,46
강북구,2016-03-23,81,53
강북구,2016-03-24,32,19
강북구,2016-03-25,61,34
강북구,2016-03-26,58,38
강북구,2016-03-27,63,43
강북구,2016-03-28,70,46
강북구,2016-03-29,97,58
강북구,2016-03-30,86,48
강북구,2016-03-31,40,19
강북구,2016-04-01,62,31
강북구,2016-04-02,68,39
강북구,2016-04-03,49,32
강북구,2016-04-04,23,10
강북구,2016-04-05,51,22
강북구,2016-04-06,71,40
강북구,2016-04-07,47,30
강북구,2016-04-08,74,40
강북구,2016-04-09,112,62
강북구,2016-04-10,137,77
강북구,2016-04-11,39,18
강북구,2016-04-12,48,25
강북구,2016-04-13,51,32
강북구,2016-04-14,47,26
강북구,2016-04-15,45,24
강북구,2016-04-16,44,22
강북구,2016-04-17,32,10
강북구,2016-04-18,54,18
강북구,2016-04-19,36,17
강북구,2016-04-20,56,30
강북구,2016-04-21,24,15
강북구,2016-04-22,72,47
강북구,2016-04-23,165,38
강북구,2016-04-24,115,22
강북구,2016-04-25,62,20
강북구,2016-04-26,67,27
강북구,2016-04-27,40,15
강북구,2016-04-28,45,17
강북구,2016-04-29,50,23
강북구,2016-04-30,69,37
강북구,2016-05-01,39,20
강북구,2016-05-02,37,20
강북구,2016-05-03,15,9
강북구,2016-05-04,33,7
강북구,2016-05-05,41,16
강북구,2016-05-06,34,21
강북구,2016-05-07,112,21
강북구,2016-05-08,42,13
강북구,2016-05-09,45,16
강북구,2016-05-10,27,13
강북구,2016-05-11,22,10
강북구,2016-05-12,22,12
강북구,2016-05-13,28,17
강북구,2016-05-14,26,16
강북구,2016-05-15,27,19
강북구,2016-05-16,24,13
강북구,2016-05-17,65,42
강북구,2016-05-18,41,27
강북구,2016-05-19,31,18
강북구,2016-05-20,30,19
강북구,2016-05-21,30,22
강북구,2016-05-22,43,33
강북구,2016-05-23,59,44
강북구,2016-05-24,30,22
강북구,2016-05-25,89,66
강북구,2016-05-26,111,82
강북구,2016-05-27,90,64
강북구,2016-05-28,59,36
강북구,2016-05-29,62,34
강북구,2016-05-30,63,39
강북구,2016-05-31,80,54
강북구,2016-06-01,33,19
강북구,2016-06-02,25,12
강북구,2016-06-03,34,21
강북구,2016-06-04,42,25
강북구,2016-06-05,42,24
강북구,2016-06-06,16,10
강북구,2016-06-07,34,23
강북구,2016-06-08,36,24
강북구,2016-06-09,38,25
강북구,2016-06-10,51,34
강북구,2016-06-11,51,33
강북구,2016-06-12,27,20
강북구,2016-06-13,51,33
강북구,2016-06-14,46,29
강북구,2016-06-15,32,21
강북구,2016-06-16,24,14
강북구,2016-06-17,53,37
강북구,2016-06-18,62,46
강북구,2016-06-19,35,26
강북구,2016-06-20,40,29
강북구,2016-06-21,55,40
강북구,2016-06-22,87,63
강북구,2016-06-23,36,26
강북구,2016-06-24,46,31
강북구,2016-06-25,24,14
강북구,2016-06-26,24,14
강북구,2016-06-27,32,19
강북구,2016-06-28,59,41
강북구,2016-06-29,31,21
강북구,2016-06-30,36,22
강북구,2016-07-01,30,17
강북구,2016-07-02,8,5
강북구,2016-07-03,38,26
강북구,2016-07-04,23,15
강북구,2016-07-05,6,4
강북구,2016-07-06,11,6
강북구,2016-07-07,37,25
강북구,2016-07-08,65,50
강북구,2016-07-09,35,23
강북구,2016-07-10,30,21
강북구,2016-07-11,51,38
강북구,2016-07-12,45,36
강북구,2016-07-13,21,15
강북구,2016-07-14,21,16
강북구,2016-07-15,11,6
강북구,2016-07-16,3,3
강북구,2016-07-17,10,8
강북구,2016-07-18,22,16
강북구,2016-07-19,28,19
강북구,2016-07-20,28,19
강북구,2016-07-21,24,17
강북구,2016-07-22,33,23
강북구,2016-07-23,40,29
강북구,2016-07-24,48,37
강북구,2016-07-25,54,43
강북구,2016-07-26,34,27
강북구,2016-07-27,35,27
강북구,2016-07-28,52,42
강북구,2016-07-29,50,39
강북구,2016-07-30,55,43
강북구,2016-07-31,42,32
강북구,2016-08-01,33,25
강북구,2016-08-02,23,16
강북구,2016-08-03,20,13
강북구,2016-08-04,24,17
강북구,2016-08-05,29,22
강북구,2016-08-06,50,38
강북구,2016-08-07,38,31
강북구,2016-08-08,35,27
강북구,2016-08-09,25,18
강북구,2016-08-10,51,55
강북구,2016-08-11,20,14
강북구,2016-08-12,32,24
강북구,2016-08-13,30,23
강북구,2016-08-14,32,28
강북구,2016-08-15,30,22
강북구,2016-08-16,37,26
강북구,2016-08-17,31,20
강북구,2016-08-18,43,31
강북구,2016-08-19,53,40
강북구,2016-08-20,28,19
강북구,2016-08-21,20,15
강북구,2016-08-22,20,15
강북구,2016-08-23,21,14
강북구,2016-08-24,31,21
강북구,2016-08-25,22,15
