구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
강서구,2016-01-01,68,40
강서구,2016-01-02,42,25
강서구,2016-01-03,99,48
강서구,2016-01-04,25,46
강서구,2016-01-05,37,16
강서구,2016-01-06,62,27
강서구,2016-01-07,48,21
강서구,2016-01-08,36,16
강서구,2016-01-09,42,19
강서구,2016-01-10,35,18
강서구,2016-01-11,43,19
강서구,2016-01-12,50,20
강서구,2016-01-13,40,18
강서구,2016-01-14,47,20
강서구,2016-01-15,56,28
강서구,2016-01-16,70,38
강서구,2016-01-17,77,46
강서구,2016-01-18,60,32
강서구,2016-01-19,36,12
강서구,2016-01-20,38,21
강서구,2016-01-21,54,29
강서구,2016-01-22,48,24
강서구,2016-01-23,33,14
강서구,2016-01-24,41,18
강서구,2016-01-25,59,17
강서구,2016-01-26,85,33
강서구,2016-01-27,67,29
강서구,2016-01-28,63,28
강서구,2016-01-29,69,29
강서구,2016-01-30,39,21
강서구,2016-01-31,40,20
강서구,2016-02-01,43,17
강서구,2016-02-02,47,20
강서구,2016-02-03,57,25
강서구,2016-02-04,57,28
강서구,2016-02-05,56,22
강서구,2016-02-06,55,22
강서구,2016-02-07,44,20
강서구,2016-02-08,73,34
강서구,2016-02-09,57,26
강서구,2016-02-10,46,22
강서구,2016-02-11,45,21
강서구,2016-02-12,34,22
강서구,2016-02-13,14,9
강서구,2016-02-14,33,18
강서구,2016-02-15,36,11
강서구,2016-02-16,27,15
강서구,2016-02-17,42,15
강서구,2016-02-18,44,19
강서구,2016-02-19,91,37
강서구,2016-02-20,55,19
강서구,2016-02-21,29,11
강서구,2016-02-22,44,15
강서구,2016-02-23,50,21
강서구,2016-02-24,34,16
강서구,2016-02-25,51,23
강서구,2016-02-26,56,27
강서구,2016-02-27,66,35
강서구,2016-02-28,56,28
강서구,2016-02-29,56,27
강서구,2016-03-01,31,17
강서구,2016-03-02,35,17
강서구,2016-03-03,54,25
강서구,2016-03-04,72,32
강서구,2016-03-05,25,14
강서구,2016-03-06,132,30
강서구,2016-03-07,137,32
강서구,2016-03-08,85,21
강서구,2016-03-09,48,14
강서구,2016-03-10,37,12
강서구,2016-03-11,39,16
강서구,2016-03-12,42,16
강서구,2016-03-13,61,28
강서구,2016-03-14,68,36
강서구,2016-03-15,53,21
강서구,2016-03-16,61,26
강서구,2016-03-17,86,33
강서구,2016-03-18,87,36
강서구,2016-03-19,80,35
강서구,2016-03-20,88,42
