구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
관악구,2016-01-01,68,46
관악구,2016-01-02,53,33
관악구,2016-01-03,94,59
관악구,2016-01-04,70,48
관악구,2016-01-05,33,18
관악구,2016-01-06,50,29
관악구,2016-01-07,40,22
관악구,2016-01-08,35,20
관악구,2016-01-09,40,23
관악구,2016-01-10,37,24
관악구,2016-01-11,42,26
관악구,2016-01-12,47,28
관악구,2016-01-13,36,24
관악구,2016-01-14,42,24
관악구,2016-01-15,49,30
관악구,2016-01-16,67,45
관악구,2016-01-17,66,46
관악구,2016-01-18,55,38
관악구,2016-01-19,28,13
관악구,2016-01-20,37,22
관악구,2016-01-21,44,27
관악구,2016-01-22,43,25
관악구,2016-01-23,30,15
관악구,2016-01-24,37,19
관악구,2016-01-25,46,17
관악구,2016-01-26,72,38
관악구,2016-01-27,65,38
관악구,2016-01-28,58,34
관악구,2016-01-29,50,31
관악구,2016-01-30,41,28
관악구,2016-01-31,39,25
관악구,2016-02-01,39,21
관악구,2016-02-02,41,22
관악구,2016-02-03,52,28
관악구,2016-02-04,59,36
관악구,2016-02-05,47,24
관악구,2016-02-06,47,23
관악구,2016-02-07,44,22
관악구,2016-02-08,60,37
관악구,2016-02-09,49,28
관악구,2016-02-10,50,27
관악구,2016-02-11,47,26
관악구,2016-02-12,44,24
관악구,2016-02-13,23,15
관악구,2016-02-14,29,18
관악구,2016-02-15,33,12
관악구,2016-02-16,29,15
관악구,2016-02-17,39,17
관악구,2016-02-18,43,22
관악구,2016-02-19,77,44
관악구,2016-02-20,44,21
관악구,2016-02-21,29,15
관악구,2016-02-22,42,18
관악구,2016-02-23,54,30
관악구,2016-02-24,33,19
관악구,2016-02-25,49,30
관악구,2016-02-26,53,33
관악구,2016-02-27,66,44
관악구,2016-02-28,50,34
관악구,2016-02-29,49,28
관악구,2016-03-01,34,19
관악구,2016-03-02,39,21
관악구,2016-03-03,53,30
관악구,2016-03-04,71,41
관악구,2016-03-05,27,20
관악구,2016-03-06,93,24
관악구,2016-03-07,95,27
관악구,2016-03-08,72,24
관악구,2016-03-09,41,15
관악구,2016-03-10,34,14
관악구,2016-03-11,37,19
관악구,2016-03-12,43,20
관악구,2016-03-13,59,35
관악구,2016-03-14,63,44
관악구,2016-03-15,53,33
관악구,2016-03-16,50,31
관악구,2016-03-17,83,51
관악구,2016-03-18,68,40
관악구,2016-03-19,77,43
관악구,2016-03-20,81,47
관악구,2016-03-21,80,47
관악구,2016-03-22,71,45
관악구,2016-03-23,77,47
관악구,2016-03-24,43,23
관악구,2016-03-25,66,37
관악구,2016-03-26,64,41
관악구,2016-03-27,61,39
관악구,2016-03-28,65,41
관악구,2016-03-29,90,53
관악구,2016-03-30,90,49
관악구,2016-03-31,50,25
관악구,2016-04-01,66,34
관악구,2016-04-02,77,43
관악구,2016-04-03,58,36
관악구,2016-04-04,31,14
관악구,2016-04-05,53,22
관악구,2016-04-06,72,40
관악구,2016-04-07,47,28
관악구,2016-04-08,68,36
관악구,2016-04-09,103,54
관악구,2016-04-10,122,63
관악구,2016-04-11,46,23
관악구,2016-04-12,55,29
관악구,2016-04-13,57,32
관악구,2016-04-14,58,33
관악구,2016-04-15,55,30
관악구,2016-04-16,51,27
관악구,2016-04-17,44,20
관악구,2016-04-18,54,23
관악구,2016-04-19,46,23
관악구,2016-04-20,58,30
