구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
광진구,2016-01-01,87,65
광진구,2016-01-02,58,41
광진구,2016-01-03,107,78
광진구,2016-01-04,91,65
광진구,2016-01-05,28,18
광진구,2016-01-06,58,37
광진구,2016-01-07,38,23
광진구,2016-01-08,35,22
광진구,2016-01-09,39,26
광진구,2016-01-10,33,24
광진구,2016-01-11,42,28
광진구,2016-01-12,56,35
광진구,2016-01-13,45,30
광진구,2016-01-14,46,28
광진구,2016-01-15,57,40
광진구,2016-01-16,65,50
광진구,2016-01-17,64,52
광진구,2016-01-18,60,42
광진구,2016-01-19,35,17
광진구,2016-01-20,42,30
광진구,2016-01-21,60,44
광진구,2016-01-22,65,43
광진구,2016-01-23,33,20
광진구,2016-01-24,41,27
광진구,2016-01-25,48,23
광진구,2016-01-26,82,47
광진구,2016-01-27,69,43
광진구,2016-01-28,60,40
광진구,2016-01-29,44,30
광진구,2016-01-30,36,27
광진구,2016-01-31,43,28
광진구,2016-02-01,42,24
광진구,2016-02-02,52,32
광진구,2016-02-03,64,41
광진구,2016-02-04,68,46
광진구,2016-02-05,45,26
광진구,2016-02-06,53,31
광진구,2016-02-07,55,32
광진구,2016-02-08,71,46
광진구,2016-02-09,58,36
광진구,2016-02-10,44,29
광진구,2016-02-11,45,28
광진구,2016-02-12,33,24
광진구,2016-02-13,14,10
광진구,2016-02-14,30,22
광진구,2016-02-15,34,15
광진구,2016-02-16,31,20
광진구,2016-02-17,40,20
광진구,2016-02-18,43,25
광진구,2016-02-19,93,56
광진구,2016-02-20,56,29
광진구,2016-02-21,27,14
광진구,2016-02-22,44,21
광진구,2016-02-23,57,35
광진구,2016-02-24,37,23
광진구,2016-02-25,51,31
광진구,2016-02-26,51,33
광진구,2016-02-27,72,51
광진구,2016-02-28,55,39
광진구,2016-02-29,57,34
광진구,2016-03-01,34,22
광진구,2016-03-02,41,26
광진구,2016-03-03,53,34
광진구,2016-03-04,70,46
광진구,2016-03-05,24,16
광진구,2016-03-06,80,24
광진구,2016-03-07,103,29
광진구,2016-03-08,65,21
광진구,2016-03-09,46,18
광진구,2016-03-10,36,16
광진구,2016-03-11,37,22
광진구,2016-03-12,47,25
광진구,2016-03-13,66,42
광진구,2016-03-14,74,57
광진구,2016-03-15,65,38
광진구,2016-03-16,73,45
광진구,2016-03-17,86,55
광진구,2016-03-18,76,50
광진구,2016-03-19,79,49
광진구,2016-03-20,84,52
광진구,2016-03-21,91,60
광진구,2016-03-22,74,51
광진구,2016-03-23,88,62
광진구,2016-03-24,37,24
광진구,2016-03-25,66,40
광진구,2016-03-26,68,48
광진구,2016-03-27,69,49
광진구,2016-03-28,76,52
광진구,2016-03-29,101,65
광진구,2016-03-30,103,62
광진구,2016-03-31,54,28
광진구,2016-04-01,74,40
광진구,2016-04-02,83,49
광진구,2016-04-03,65,48
광진구,2016-04-04,24,12
광진구,2016-04-05,57,23
광진구,2016-04-06,76,43
광진구,2016-04-07,45,26
광진구,2016-04-08,74,45
광진구,2016-04-09,124,77
광진구,2016-04-10,145,90
광진구,2016-04-11,40,19
광진구,2016-04-12,51,28
광진구,2016-04-13,59,37
광진구,2016-04-14,61,38
광진구,2016-04-15,51,29
광진구,2016-04-16,50,27
광진구,2016-04-17,39,16
광진구,2016-04-18,60,23
광진구,2016-04-19,44,22
광진구,2016-04-20,63,35
광진구,2016-04-21,26,15
