구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
구로구,2016-01-01,59,44
구로구,2016-01-02,39,27
구로구,2016-01-03,80,49
구로구,2016-01-04,82,45
구로구,2016-01-05,30,15
구로구,2016-01-06,48,26
구로구,2016-01-07,37,19
구로구,2016-01-08,30,16
구로구,2016-01-09,32,17
구로구,2016-01-10,28,17
구로구,2016-01-11,34,20
구로구,2016-01-12,40,20
구로구,2016-01-13,29,16
구로구,2016-01-14,40,20
구로구,2016-01-15,40,25
구로구,2016-01-16,60,39
구로구,2016-01-17,58,40
구로구,2016-01-18,52,38
구로구,2016-01-19,27,13
구로구,2016-01-20,30,22
구로구,2016-01-21,43,29
구로구,2016-01-22,38,24
구로구,2016-01-23,26,15
구로구,2016-01-24,33,20
구로구,2016-01-25,46,19
구로구,2016-01-26,84,36
구로구,2016-01-27,75,34
구로구,2016-01-28,72,32
구로구,2016-01-29,61,29
구로구,2016-01-30,45,24
구로구,2016-01-31,44,22
구로구,2016-02-01,45,19
구로구,2016-02-02,42,22
구로구,2016-02-03,53,30
구로구,2016-02-04,52,33
구로구,2016-02-05,43,22
구로구,2016-02-06,45,25
구로구,2016-02-07,37,22
구로구,2016-02-08,59,36
구로구,2016-02-09,51,31
구로구,2016-02-10,42,27
구로구,2016-02-11,43,22
구로구,2016-02-12,31,22
구로구,2016-02-13,13,10
구로구,2016-02-14,30,18
구로구,2016-02-15,31,12
구로구,2016-02-16,22,15
구로구,2016-02-17,34,15
구로구,2016-02-18,35,18
구로구,2016-02-19,70,38
구로구,2016-02-20,40,17
구로구,2016-02-21,23,11
구로구,2016-02-22,36,16
구로구,2016-02-23,45,26
구로구,2016-02-24,29,18
구로구,2016-02-25,40,24
구로구,2016-02-26,43,27
구로구,2016-02-27,56,37
구로구,2016-02-28,38,24
구로구,2016-02-29,49,29
구로구,2016-03-01,25,16
구로구,2016-03-02,29,17
구로구,2016-03-03,42,28
구로구,2016-03-04,62,36
구로구,2016-03-05,21,14
구로구,2016-03-06,94,32
구로구,2016-03-07,101,33
구로구,2016-03-08,69,26
구로구,2016-03-09,38,16
구로구,2016-03-10,30,15
구로구,2016-03-11,31,18
구로구,2016-03-12,36,18
구로구,2016-03-13,54,33
구로구,2016-03-14,60,40
구로구,2016-03-15,50,25
구로구,2016-03-16,56,30
구로구,2016-03-17,70,36
구로구,2016-03-18,73,38
구로구,2016-03-19,95,37
구로구,2016-03-20,105,42
구로구,2016-03-21,106,45
구로구,2016-03-22,83,40
구로구,2016-03-23,91,40
구로구,2016-03-24,54,22
구로구,2016-03-25,91,36
구로구,2016-03-26,74,38
구로구,2016-03-27,73,34
구로구,2016-03-28,76,34
구로구,2016-03-29,114,46
구로구,2016-03-30,113,44
구로구,2016-03-31,67,23
구로구,2016-04-01,89,27
구로구,2016-04-02,97,36
구로구,2016-04-03,64,30
구로구,2016-04-04,37,12
구로구,2016-04-05,66,18
구로구,2016-04-06,87,30
구로구,2016-04-07,48,22
구로구,2016-04-08,74,36
구로구,2016-04-09,117,64
구로구,2016-04-10,132,70
구로구,2016-04-11,54,25
구로구,2016-04-12,64,30
구로구,2016-04-13,62,34
구로구,2016-04-14,56,31
구로구,2016-04-15,58,30
구로구,2016-04-16,60,28
구로구,2016-04-17,49,20
구로구,2016-04-18,62,23
구로구,2016-04-19,48,23
구로구,2016-04-20,69,33
구로구,2016-04-21,29,18
구로구,2016-04-22,80,47
구로구,2016-04-23,218,53
구로구,2016-04-24,202,39
구로구,2016-04-25,95,28
구로구,2016-04-26,90,32
구로구,2016-04-27,57,19
구로구,2016-04-28,63,22
구로구,2016-04-29,72,30
구로구,2016-04-30,77,34
구로구,2016-05-01,46,20
구로구,2016-05-02,48,25
구로구,2016-05-03,18,10
구로구,2016-05-04,55,15
구로구,2016-05-05,56,23
구로구,2016-05-06,47,24
구로구,2016-05-07,114,28
구로구,2016-05-08,59,21
구로구,2016-05-09,71,25
구로구,2016-05-10,34,16
구로구,2016-05-11,31,14
구로구,2016-05-12,32,16
구로구,2016-05-13,41,24
구로구,2016-05-14,39,19
구로구,2016-05-15,36,21
구로구,2016-05-16,39,19
구로구,2016-05-17,70,38
구로구,2016-05-18,63,33
구로구,2016-05-19,47,24
구로구,2016-05-20,64,33
구로구,2016-05-21,44,28
구로구,2016-05-22,65,43
구로구,2016-05-23,77,52
구로구,2016-05-24,35,24
구로구,2016-05-25,93,64
구로구,2016-05-26,105,70
구로구,2016-05-27,90,53
구로구,2016-05-28,84,41
구로구,2016-05-29,90,46
구로구,2016-05-30,104,61
구로구,2016-05-31,80,45
구로구,2016-06-01,48,28
구로구,2016-06-02,44,23
구로구,2016-06-03,49,26
구로구,2016-06-04,57,28
구로구,2016-06-05,59,32
구로구,2016-06-06,26,16
구로구,2016-06-07,46,27
구로구,2016-06-08,38,24
구로구,2016-06-09,59,34
구로구,2016-06-10,65,37
구로구,2016-06-11,53,44
구로구,2016-06-12,32,20
구로구,2016-06-13,65,34
구로구,2016-06-14,54,32
구로구,2016-06-15,36,24
구로구,2016-06-16,33,21
구로구,2016-06-17,54,35
구로구,2016-06-18,74,51
구로구,2016-06-19,45,32
구로구,2016-06-20,61,41
구로구,2016-06-21,65,43
구로구,2016-06-22,72,49
구로구,2016-06-23,26,15
구로구,2016-06-24,75,40
구로구,2016-06-25,31,16
구로구,2016-06-26,30,16
구로구,2016-06-27,32,18
구로구,2016-06-28,64,40
구로구,2016-06-29,33,20
구로구,2016-06-30,31,18
구로구,2016-07-01,23,14
구로구,2016-07-02,12,6
구로구,2016-07-03,46,30
구로구,2016-07-04,24,15
구로구,2016-07-05,14,8
구로구,2016-07-06,16,8
구로구,2016-07-07,51,32
구로구,2016-07-08,57,35
구로구,2016-07-09,43,26
구로구,2016-07-10,36,23
구로구,2016-07-11,57,36
구로구,2016-07-12,40,29
구로구,2016-07-13,31,18
구로구,2016-07-14,35,21
구로구,2016-07-15,22,13
구로구,2016-07-16,10,7
구로구,2016-07-17,12,8
구로구,2016-07-18,27,17
구로구,2016-07-19,40,24
구로구,2016-07-20,48,29
구로구,2016-07-21,35,22
구로구,2016-07-22,42,27
구로구,2016-07-23,42,28
구로구,2016-07-24,34,23
구로구,2016-07-25,39,28
구로구,2016-07-26,33,24
구로구,2016-07-27,34,22
구로구,2016-07-28,60,39
구로구,2016-07-29,46,29
구로구,2016-07-30,42,29
구로구,2016-07-31,42,27
구로구,2016-08-01,32,21
구로구,2016-08-02,26,18
