구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
금천구,2016-01-01,66,51
금천구,2016-01-02,51,35
금천구,2016-01-03,92,64
금천구,2016-01-04,92,64
금천구,2016-01-05,30,17
금천구,2016-01-06,53,33
금천구,2016-01-07,40,23
금천구,2016-01-08,32,19
금천구,2016-01-09,35,21
금천구,2016-01-10,33,22
금천구,2016-01-11,38,22
금천구,2016-01-12,43,25
금천구,2016-01-13,34,21
금천구,2016-01-14,41,22
금천구,2016-01-15,45,29
금천구,2016-01-16,73,54
금천구,2016-01-17,67,50
금천구,2016-01-18,56,35
금천구,2016-01-19,27,14
금천구,2016-01-20,36,24
금천구,2016-01-21,46,32
금천구,2016-01-22,41,27
금천구,2016-01-23,32,16
금천구,2016-01-24,38,22
금천구,2016-01-25,46,18
금천구,2016-01-26,71,38
금천구,2016-01-27,63,37
금천구,2016-01-28,54,33
금천구,2016-01-29,46,29
금천구,2016-01-30,40,27
금천구,2016-01-31,37,23
금천구,2016-02-01,38,21
금천구,2016-02-02,41,23
금천구,2016-02-03,51,31
금천구,2016-02-04,56,38
금천구,2016-02-05,45,24
금천구,2016-02-06,47,25
금천구,2016-02-07,39,23
금천구,2016-02-08,63,39
금천구,2016-02-09,52,30
금천구,2016-02-10,37,22
금천구,2016-02-11,44,27
금천구,2016-02-12,27,19
금천구,2016-02-13,17,12
금천구,2016-02-14,30,18
금천구,2016-02-15,31,12
금천구,2016-02-16,26,17
금천구,2016-02-17,32,15
금천구,2016-02-18,42,21
금천구,2016-02-19,83,44
금천구,2016-02-20,42,19
금천구,2016-02-21,25,12
금천구,2016-02-22,40,17
금천구,2016-02-23,56,31
금천구,2016-02-24,32,19
금천구,2016-02-25,48,28
금천구,2016-02-26,52,33
금천구,2016-02-27,65,43
금천구,2016-02-28,48,31
금천구,2016-02-29,49,29
금천구,2016-03-01,30,19
금천구,2016-03-02,36,21
금천구,2016-03-03,46,27
금천구,2016-03-04,66,38
금천구,2016-03-05,23,13
금천구,2016-03-06,93,19
금천구,2016-03-07,98,26
금천구,2016-03-08,72,21
금천구,2016-03-09,39,14
금천구,2016-03-10,33,15
금천구,2016-03-11,33,18
금천구,2016-03-12,41,20
금천구,2016-03-13,60,37
금천구,2016-03-14,65,44
금천구,2016-03-15,50,29
금천구,2016-03-16,60,35
금천구,2016-03-17,74,45
금천구,2016-03-18,64,38
금천구,2016-03-19,71,38
금천구,2016-03-20,75,44
금천구,2016-03-21,77,47
금천구,2016-03-22,68,44
금천구,2016-03-23,81,49
