구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
노원구,2016-01-01,69,49
노원구,2016-01-02,53,36
노원구,2016-01-03,85,58
노원구,2016-01-04,76,49
노원구,2016-01-05,25,15
노원구,2016-01-06,45,29
노원구,2016-01-07,37,23
노원구,2016-01-08,30,36
노원구,2016-01-09,37,20
노원구,2016-01-10,30,12
노원구,2016-01-11,32,13
노원구,2016-01-12,47,18
노원구,2016-01-13,35,16
노원구,2016-01-14,39,16
노원구,2016-01-15,52,22
노원구,2016-01-16,75,34
노원구,2016-01-17,84,39
노원구,2016-01-18,49,23
노원구,2016-01-19,29,11
노원구,2016-01-20,37,19
노원구,2016-01-21,51,25
노원구,2016-01-22,49,24
노원구,2016-01-23,27,12
노원구,2016-01-24,34,13
노원구,2016-01-25,39,14
노원구,2016-01-26,67,32
노원구,2016-01-27,54,32
노원구,2016-01-28,53,33
노원구,2016-01-29,49,31
노원구,2016-01-30,29,20
노원구,2016-01-31,36,21
노원구,2016-02-01,35,17
노원구,2016-02-02,40,22
노원구,2016-02-03,49,30
노원구,2016-02-04,48,32
노원구,2016-02-05,37,20
노원구,2016-02-06,45,27
노원구,2016-02-07,48,28
노원구,2016-02-08,62,41
노원구,2016-02-09,49,29
노원구,2016-02-10,30,19
노원구,2016-02-11,45,29
노원구,2016-02-12,30,24
노원구,2016-02-13,20,15
노원구,2016-02-14,22,16
노원구,2016-02-15,24,10
노원구,2016-02-16,24,16
노원구,2016-02-17,33,15
노원구,2016-02-18,41,25
노원구,2016-02-19,80,51
노원구,2016-02-20,38,18
노원구,2016-02-21,21,11
노원구,2016-02-22,37,17
노원구,2016-02-23,45,28
노원구,2016-02-24,27,16
노원구,2016-02-25,40,25
노원구,2016-02-26,41,27
노원구,2016-02-27,62,47
노원구,2016-02-28,43,32
노원구,2016-02-29,49,28
노원구,2016-03-01,26,17
노원구,2016-03-02,34,23
노원구,2016-03-03,47,31
노원구,2016-03-04,65,43
노원구,2016-03-05,18,14
노원구,2016-03-06,69,18
노원구,2016-03-07,87,25
노원구,2016-03-08,54,18
노원구,2016-03-09,37,14
노원구,2016-03-10,28,12
노원구,2016-03-11,30,17
노원구,2016-03-12,38,19
노원구,2016-03-13,56,38
노원구,2016-03-14,58,46
노원구,2016-03-15,49,28
노원구,2016-03-16,61,39
노원구,2016-03-17,59,38
노원구,2016-03-18,60,41
노원구,2016-03-19,63,39
노원구,2016-03-20,68,42
노원구,2016-03-21,78,53
노원구,2016-03-22,69,49
노원구,2016-03-23,69,50
노원구,2016-03-24,29,18
노원구,2016-03-25,56,34
노원구,2016-03-26,54,41
노원구,2016-03-27,58,43
노원구,2016-03-28,64,46
노원구,2016-03-29,86,58
노원구,2016-03-30,81,51
노원구,2016-03-31,38,20
노원구,2016-04-01,60,33
노원구,2016-04-02,68,40
노원구,2016-04-03,46,35
노원구,2016-04-04,20,9
노원구,2016-04-05,49,24
노원구,2016-04-06,63,38
노원구,2016-04-07,44,33
노원구,2016-04-08,70,43
노원구,2016-04-09,107,71
노원구,2016-04-10,126,80
노원구,2016-04-11,34,18
노원구,2016-04-12,40,23
노원구,2016-04-13,48,33
노원구,2016-04-14,47,31
노원구,2016-04-15,41,24
노원구,2016-04-16,40,23
노원구,2016-04-17,29,11
노원구,2016-04-18,49,20
노원구,2016-04-19,33,18
노원구,2016-04-20,50,30
노원구,2016-04-21,23,17
노원구,2016-04-22,68,50
노원구,2016-04-23,140,40
노원구,2016-04-24,98,21
노원구,2016-04-25,56,20
노원구,2016-04-26,55,25
노원구,2016-04-27,36,14
노원구,2016-04-28,40,17
노원구,2016-04-29,45,23
노원구,2016-04-30,65,39
노원구,2016-05-01,35,19
노원구,2016-05-02,35,21
노원구,2016-05-03,16,11
노원구,2016-05-04,31,7
노원구,2016-05-05,39,15
노원구,2016-05-06,33,23
노원구,2016-05-07,114,22
노원구,2016-05-08,39,13
노원구,2016-05-09,41,15
노원구,2016-05-10,27,14
노원구,2016-05-11,20,10
노원구,2016-05-12,23,13
노원구,2016-05-13,27,18
노원구,2016-05-14,24,14
노원구,2016-05-15,28,19
노원구,2016-05-16,24,12
노원구,2016-05-17,57,37
노원구,2016-05-18,41,27
노원구,2016-05-19,27,15
노원구,2016-05-20,26,16
노원구,2016-05-21,27,20
노원구,2016-05-22,38,30
노원구,2016-05-23,51,38
노원구,2016-05-24,29,22
노원구,2016-05-25,79,61
노원구,2016-05-26,102,82
노원구,2016-05-27,80,59
노원구,2016-05-28,54,34
노원구,2016-05-29,56,32
노원구,2016-05-30,54,34
노원구,2016-05-31,76,54
노원구,2016-06-01,28,18
노원구,2016-06-02,22,12
노원구,2016-06-03,32,20
노원구,2016-06-04,38,24
노원구,2016-06-05,36,22
노원구,2016-06-06,17,11
노원구,2016-06-07,30,23
노원구,2016-06-08,36,27
노원구,2016-06-09,36,24
노원구,2016-06-10,46,32
노원구,2016-06-11,47,37
노원구,2016-06-12,26,20
노원구,2016-06-13,51,37
노원구,2016-06-14,43,32
노원구,2016-06-15,32,25
노원구,2016-06-16,26,18
노원구,2016-06-17,53,42
노원구,2016-06-18,57,47
노원구,2016-06-19,35,29
노원구,2016-06-20,37,30
노원구,2016-06-21,48,39
노원구,2016-06-22,83,71
노원구,2016-06-23,29,24
노원구,2016-06-24,59,46
노원구,2016-06-25,21,14
노원구,2016-06-26,22,15
노원구,2016-06-27,28,19
노원구,2016-06-28,49,39
노원구,2016-06-29,29,23
노원구,2016-06-30,27,24
노원구,2016-07-01,23,19
노원구,2016-07-02,9,7
노원구,2016-07-03,29,25
노원구,2016-07-04,19,16
노원구,2016-07-05,6,4
노원구,2016-07-06,11,6
노원구,2016-07-07,33,23
노원구,2016-07-08,59,49
노원구,2016-07-09,29,20
노원구,2016-07-10,27,19
노원구,2016-07-11,44,35
노원구,2016-07-12,43,35
노원구,2016-07-13,20,14
노원구,2016-07-14,20,15
노원구,2016-07-15,10,6
노원구,2016-07-16,3,2
노원구,2016-07-17,11,9
노원구,2016-07-18,22,16
노원구,2016-07-19,24,17
노원구,2016-07-20,25,17
노원구,2016-07-21,22,15
노원구,2016-07-22,27,20
노원구,2016-07-23,40,30
노원구,2016-07-24,43,34
노원구,2016-07-25,48,39
노원구,2016-07-26,32,26
노원구,2016-07-27,30,24
노원구,2016-07-28,44,36
노원구,2016-07-29,50,39
노원구,2016-07-30,52,43
노원구,2016-07-31,36,29
노원구,2016-08-01,29,23
노원구,2016-08-02,21,14
노원구,2016-08-03,17,11
노원구,2016-08-04,21,16
노원구,2016-08-05,25,19
노원구,2016-08-06,42,35
노원구,2016-08-07,34,29
노원구,2016-08-08,28,22
노원구,2016-08-09,22,17
노원구,2016-08-10,54,48
노원구,2016-08-11,22,16
노원구,2016-08-12,28,22
노원구,2016-08-13,30,24
노원구,2016-08-14,31,28
노원구,2016-08-15,29,23
노원구,2016-08-16,34,25
노원구,2016-08-17,28,20
노원구,2016-08-18,39,30
노원구,2016-08-19,49,40
노원구,2016-08-20,26,19
노원구,2016-08-21,17,13
노원구,2016-08-22,19,13
노원구,2016-08-23,19,13
노원구,2016-08-24,30,23
노원구,2016-08-25,20,14
노원구,2016-08-26,6,3
노원구,2016-08-27,7,3
노원구,2016-08-28,4,2
노원구,2016-08-29,8,3
노원구,2016-08-30,15,6
노원구,2016-08-31,8,4
노원구,2016-09-01,42,26
노원구,2016-09-02,27,22
노원구,2016-09-03,12,9
노원구,2016-09-04,14,10
노원구,2016-09-05,20,12
노원구,2016-09-06,45,32
노원구,2016-09-07,64,55
노원구,2016-09-08,43,35
노원구,2016-09-09,31,23
노원구,2016-09-10,31,22
노원구,2016-09-11,26,21
노원구,2016-09-12,19,13
노원구,2016-09-13,8,4
노원구,2016-09-14,20,15
노원구,2016-09-15,30,23
노원구,2016-09-16,34,27
노원구,2016-09-17,28,24
노원구,2016-09-18,18,12
노원구,2016-09-19,10,3
노원구,2016-09-20,12,6
노원구,2016-09-21,28,19
노원구,2016-09-22,30,22
노원구,2016-09-23,37,26
노원구,2016-09-24,50,38
노원구,2016-09-25,52,43
노원구,2016-09-26,34,24
노원구,2016-09-27,31,23
노원구,2016-09-28,34,28
노원구,2016-09-29,9,4
노원구,2016-09-30,20,11
노원구,2016-10-01,36,26
노원구,2016-10-02,28,21
노원구,2016-10-03,11,8
노원구,2016-10-04,22,13
노원구,2016-10-05,17,9
노원구,2016-10-06,31,18
노원구,2016-10-07,22,12
노원구,2016-10-08,14,8
노원구,2016-10-09,12,7
노원구,2016-10-10,18,8
노원구,2016-10-11,42,20
노원구,2016-10-12,59,32
노원구,2016-10-13,33,24
노원구,2016-10-14,53,38
노원구,2016-10-15,67,51
노원구,2016-10-16,44,34
노원구,2016-10-17,40,30
노원구,2016-10-18,38,26
노원구,2016-10-19,52,36
노원구,2016-10-20,54,38
노원구,2016-10-21,16,10
노원구,2016-10-22,22,14
노원구,2016-10-23,7,4
노원구,2016-10-24,12,7
노원구,2016-10-25,10,6
노원구,2016-10-26,30,20
노원구,2016-10-27,37,23
노원구,2016-10-28,28,16
노원구,2016-10-29,26,16
노원구,2016-10-30,19,12
노원구,2016-10-31,23,15
노원구,2016-11-01,18,10
노원구,2016-11-02,33,15
노원구,2016-11-03,37,15
노원구,2016-11-04,54,15
노원구,2016-11-05,68,44
노원구,2016-11-06,27,5
노원구,2016-11-07,26,6
노원구,2016-11-08,56,46
노원구,2016-11-09,34,28
노원구,2016-11-10,42,30
노원구,2016-11-11,41,24
노원구,2016-11-12,58,30
노원구,2016-11-13,65,30
노원구,2016-11-14,45,31
노원구,2016-11-15,50,25
노원구,2016-11-16,47,30
노원구,2016-11-17,68,46
노원구,2016-11-18,91,63
노원구,2016-11-19,64,36
노원구,2016-11-20,39,24
노원구,2016-11-21,55,33
노원구,2016-11-22,35,20
노원구,2016-11-23,30,16
노원구,2016-11-24,22,14
노원구,2016-11-25,32,22
노원구,2016-11-26,50,37
노원구,2016-11-27,72,55
노원구,2016-11-28,77,43
노원구,2016-11-29,34,19
노원구,2016-11-30,49,31
노원구,2016-12-01,46,26
노원구,2016-12-02,32,16
노원구,2016-12-03,51,30
노원구,2016-12-04,80,59
노원구,2016-12-05,85,66
노원구,2016-12-06,22,11
노원구,2016-12-07,45,27
노원구,2016-12-08,65,44
노원구,2016-12-09,33,25
노원구,2016-12-10,30,21
노원구,2016-12-11,33,22
노원구,2016-12-12,48,34
노원구,2016-12-13,61,45
노원구,2016-12-14,48,34
노원구,2016-12-15,32,18
노원구,2016-12-16,28,15
노원구,2016-12-17,32,20
노원구,2016-12-18,44,31
노원구,2016-12-19,38,24
노원구,2016-12-20,53,29
노원구,2016-12-21,53,34
노원구,2016-12-22,19,12
노원구,2016-12-23,47,35
노원구,2016-12-24,62,51
노원구,2016-12-25,58,46
노원구,2016-12-26,47,34
노원구,2016-12-27,38,26
노원구,2016-12-28,39,24
노원구,2016-12-29,30,13
노원구,2016-12-30,41,24
노원구,2016-12-31,58,42
노원구,2017-01-01,81,64
노원구,2017-01-02,104,81
노원구,2017-01-03,89,67
노원구,2017-01-04,48,33
노원구,2017-01-05,38,26
노원구,2017-01-06,17,8
노원구,2017-01-07,56,41
노원구,2017-01-08,32,24
노원구,2017-01-09,52,44
노원구,2017-01-10,29,16
노원구,2017-01-11,19,8
노원구,2017-01-12,25,15
노원구,2017-01-13,23,11
노원구,2017-01-14,35,8
노원구,2017-01-15,23,12
노원구,2017-01-16,43,25
노원구,2017-01-17,67,50
노원구,2017-01-18,96,81
노원구,2017-01-19,102,83
노원구,2017-01-20,56,45
노원구,2017-01-21,54,42
노원구,2017-01-22,65,25
노원구,2017-01-23,49,39
노원구,2017-01-24,41,32
노원구,2017-01-25,51,41
노원구,2017-01-26,62,51
노원구,2017-01-27,90,18
노원구,2017-01-28,26,10
노원구,2017-01-29,25,16
노원구,2017-01-30,42,33
노원구,2017-01-31,25,16
노원구,2017-02-01,30,18
노원구,2017-02-02,30,15
노원구,2017-02-03,64,47
노원구,2017-02-04,91,72
노원구,2017-02-05,68,59
노원구,2017-02-06,37,28
노원구,2017-02-07,34,21
노원구,2017-02-08,51,34
노원구,2017-02-09,40,18
노원구,2017-02-10,28,15
노원구,2017-02-11,23,12
노원구,2017-02-12,28,17
노원구,2017-02-13,41,28
노원구,2017-02-14,49,32
노원구,2017-02-15,61,44
노원구,2017-02-16,74,53
노원구,2017-02-17,39,14
노원구,2017-02-18,26,12
노원구,2017-02-19,41,27
노원구,2017-02-20,34,18
노원구,2017-02-21,34,24
노원구,2017-02-22,42,32
노원구,2017-02-23,30,22
노원구,2017-02-24,22,17
노원구,2017-02-25,42,30
노원구,2017-02-26,42,31
노원구,2017-02-27,34,23
노원구,2017-02-28,39,28
노원구,2017-03-01,56,43
노원구,2017-03-02,33,27
노원구,2017-03-03,39,21
노원구,2017-03-04,50,33
노원구,2017-03-05,67,49
노원구,2017-03-06,33,26
노원구,2017-03-07,27,20
노원구,2017-03-08,35,19
노원구,2017-03-09,40,20
노원구,2017-03-10,37,23
노원구,2017-03-11,51,35
노원구,2017-03-12,87,65
노원구,2017-03-13,54,40
노원구,2017-03-14,40,27
노원구,2017-03-15,35,22
노원구,2017-03-16,53,38
노원구,2017-03-17,65,49
노원구,2017-03-18,57,41
노원구,2017-03-19,66,51
노원구,2017-03-20,78,55
노원구,2017-03-21,97,71
노원구,2017-03-22,43,28
노원구,2017-03-23,62,40
노원구,2017-03-24,52,34
노원구,2017-03-25,51,36
노원구,2017-03-26,54,39
노원구,2017-03-27,63,49
노원구,2017-03-28,76,56
노원구,2017-03-29,50,37
노원구,2017-03-30,58,39
노원구,2017-03-31,45,30
노원구,2017-04-01,22,17
노원구,2017-04-02,40,30
노원구,2017-04-03,74,52
노원구,2017-04-04,69,47
노원구,2017-04-05,52,34
노원구,2017-04-06,21,16
노원구,2017-04-07,34,24
노원구,2017-04-08,60,42
노원구,2017-04-09,39,26
노원구,2017-04-10,23,16
노원구,2017-04-11,41,22
노원구,2017-04-12,51,13
노원구,2017-04-13,58,26
노원구,2017-04-14,54,26
노원구,2017-04-15,62,32
노원구,2017-04-16,54,33
노원구,2017-04-17,37,24
노원구,2017-04-18,42,23
노원구,2017-04-19,63,14
노원구,2017-04-20,64,20
노원구,2017-04-21,52,21
노원구,2017-04-22,50,24
노원구,2017-04-23,44,25
노원구,2017-04-24,37,19
노원구,2017-04-25,53,27
노원구,2017-04-26,40,15
노원구,2017-04-27,41,14
노원구,2017-04-28,60,25
노원구,2017-04-29,61,29
노원구,2017-04-30,88,51
노원구,2017-05-01,86,46
노원구,2017-05-02,83,45
노원구,2017-05-03,67,36
노원구,2017-05-04,59,34
노원구,2017-05-05,45,22
노원구,2017-05-06,170,21
노원구,2017-05-07,78,17
노원구,2017-05-08,131,34
노원구,2017-05-09,127,37
노원구,2017-05-10,49,23
노원구,2017-05-11,63,31
노원구,2017-05-12,77,45
노원구,2017-05-13,51,29
노원구,2017-05-14,52,15
노원구,2017-05-15,36,10
노원구,2017-05-16,34,16
노원구,2017-05-17,33,16
노원구,2017-05-18,43,24
노원구,2017-05-19,44,26
노원구,2017-05-20,35,20
노원구,2017-05-21,31,18
노원구,2017-05-22,44,29
노원구,2017-05-23,36,22
노원구,2017-05-24,26,15
노원구,2017-05-25,35,14
노원구,2017-05-26,22,8
노원구,2017-05-27,33,15
노원구,2017-05-28,43,24
노원구,2017-05-29,66,39
노원구,2017-05-30,51,25
노원구,2017-05-31,36,19
노원구,2017-06-01,33,18
노원구,2017-06-02,27,11
노원구,2017-06-03,27,10
노원구,2017-06-04,28,11
노원구,2017-06-05,21,10
노원구,2017-06-06,21,10
노원구,2017-06-07,17,8
노원구,2017-06-08,37,23
노원구,2017-06-09,57,35
노원구,2017-06-10,49,24
노원구,2017-06-11,26,9
노원구,2017-06-12,26,10
노원구,2017-06-13,33,16
노원구,2017-06-14,37,19
노원구,2017-06-15,48,28
