구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
도봉구,2016-01-01,67,42
도봉구,2016-01-02,54,32
도봉구,2016-01-03,81,47
도봉구,2016-01-04,72,43
도봉구,2016-01-05,25,12
도봉구,2016-01-06,47,25
도봉구,2016-01-07,35,17
도봉구,2016-01-08,30,15
도봉구,2016-01-09,34,18
도봉구,2016-01-10,28,16
도봉구,2016-01-11,32,16
도봉구,2016-01-12,48,20
도봉구,2016-01-13,36,17
도봉구,2016-01-14,39,18
도봉구,2016-01-15,55,30
도봉구,2016-01-16,77,41
도봉구,2016-01-17,80,46
도봉구,2016-01-18,52,30
도봉구,2016-01-19,34,8
도봉구,2016-01-20,40,23
도봉구,2016-01-21,60,31
도봉구,2016-01-22,55,27
도봉구,2016-01-23,31,12
도봉구,2016-01-24,38,18
도봉구,2016-01-25,48,16
도봉구,2016-01-26,80,33
도봉구,2016-01-27,60,25
도봉구,2016-01-28,55,27
도봉구,2016-01-29,53,23
도봉구,2016-01-30,35,21
도봉구,2016-01-31,41,20
도봉구,2016-02-01,40,16
도봉구,2016-02-02,45,20
도봉구,2016-02-03,54,26
도봉구,2016-02-04,52,26
도봉구,2016-02-05,42,16
도봉구,2016-02-06,52,21
도봉구,2016-02-07,55,22
도봉구,2016-02-08,68,35
도봉구,2016-02-09,54,24
도봉구,2016-02-10,31,16
도봉구,2016-02-11,44,23
도봉구,2016-02-12,29,17
도봉구,2016-02-13,11,7
도봉구,2016-02-14,25,14
도봉구,2016-02-15,33,9
도봉구,2016-02-16,27,14
도봉구,2016-02-17,38,13
도봉구,2016-02-18,43,20
도봉구,2016-02-19,79,34
도봉구,2016-02-20,50,17
도봉구,2016-02-21,26,10
도봉구,2016-02-22,41,15
도봉구,2016-02-23,51,22
도봉구,2016-02-24,30,15
도봉구,2016-02-25,46,23
도봉구,2016-02-26,44,22
도봉구,2016-02-27,61,32
도봉구,2016-02-28,43,24
도봉구,2016-02-29,60,25
도봉구,2016-03-01,29,15
도봉구,2016-03-02,38,21
도봉구,2016-03-03,52,26
도봉구,2016-03-04,66,31
도봉구,2016-03-05,22,14
도봉구,2016-03-06,82,19
도봉구,2016-03-07,113,26
도봉구,2016-03-08,65,17
도봉구,2016-03-09,45,13
도봉구,2016-03-10,35,12
도봉구,2016-03-11,37,16
도봉구,2016-03-12,43,17
도봉구,2016-03-13,60,30
도봉구,2016-03-14,63,35
도봉구,2016-03-15,52,22
도봉구,2016-03-16,62,26
도봉구,2016-03-17,61,27
도봉구,2016-03-18,59,29
도봉구,2016-03-19,74,34
도봉구,2016-03-20,80,38
도봉구,2016-03-21,85,44
도봉구,2016-03-22,73,38
도봉구,2016-03-23,82,38
도봉구,2016-03-24,39,19
도봉구,2016-03-25,70,31
도봉구,2016-03-26,63,34
도봉구,2016-03-27,66,36
도봉구,2016-03-28,66,31
도봉구,2016-03-29,95,44
도봉구,2016-03-30,81,37
도봉구,2016-03-31,43,15
도봉구,2016-04-01,65,24
도봉구,2016-04-02,69,32
도봉구,2016-04-03,46,26
도봉구,2016-04-04,27,10
도봉구,2016-04-05,56,20
도봉구,2016-04-06,68,29
도봉구,2016-04-07,39,19
도봉구,2016-04-08,78,34
도봉구,2016-04-09,119,45
도봉구,2016-04-10,145,59
도봉구,2016-04-11,49,19
도봉구,2016-04-12,57,24
도봉구,2016-04-13,55,30
도봉구,2016-04-14,53,23
도봉구,2016-04-15,54,24
도봉구,2016-04-16,52,24
도봉구,2016-04-17,42,13
도봉구,2016-04-18,66,20
도봉구,2016-04-19,46,19
도봉구,2016-04-20,66,28
도봉구,2016-04-21,27,15
도봉구,2016-04-22,78,40
도봉구,2016-04-23,206,31
도봉구,2016-04-24,156,23
도봉구,2016-04-25,78,21
도봉구,2016-04-26,83,28
도봉구,2016-04-27,51,18
도봉구,2016-04-28,58,20
도봉구,2016-04-29,63,26
도봉구,2016-04-30,81,35
도봉구,2016-05-01,51,21
도봉구,2016-05-02,46,22
도봉구,2016-05-03,19,8
도봉구,2016-05-04,52,10
도봉구,2016-05-05,54,17
도봉구,2016-05-06,36,19
도봉구,2016-05-07,136,21
도봉구,2016-05-08,57,15
도봉구,2016-05-09,61,19
도봉구,2016-05-10,35,15
도봉구,2016-05-11,29,12
도봉구,2016-05-12,29,16
도봉구,2016-05-13,35,22
도봉구,2016-05-14,33,19
도봉구,2016-05-15,35,20
도봉구,2016-05-16,32,17
도봉구,2016-05-17,65,35
도봉구,2016-05-18,46,26
도봉구,2016-05-19,39,22
도봉구,2016-05-20,38,22
도봉구,2016-05-21,36,26
도봉구,2016-05-22,51,37
도봉구,2016-05-23,68,46
도봉구,2016-05-24,32,23
도봉구,2016-05-25,91,63
도봉구,2016-05-26,103,71
도봉구,2016-05-27,87,49
