구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
동대문구,2016-01-01,69,46
동대문구,2016-01-02,53,33
동대문구,2016-01-03,90,57
동대문구,2016-01-04,82,49
동대문구,2016-01-05,27,14
동대문구,2016-01-06,55,27
동대문구,2016-01-07,41,20
동대문구,2016-01-08,35,18
동대문구,2016-01-09,36,18
동대문구,2016-01-10,32,18
동대문구,2016-01-11,37,18
동대문구,2016-01-12,51,22
동대문구,2016-01-13,39,19
동대문구,2016-01-14,45,19
동대문구,2016-01-15,55,28
동대문구,2016-01-16,75,38
동대문구,2016-01-17,77,48
동대문구,2016-01-18,61,31
동대문구,2016-01-19,35,12
동대문구,2016-01-20,39,21
동대문구,2016-01-21,58,30
동대문구,2016-01-22,58,28
동대문구,2016-01-23,34,13
동대문구,2016-01-24,40,19
동대문구,2016-01-25,52,16
동대문구,2016-01-26,84,35
동대문구,2016-01-27,67,28
동대문구,2016-01-28,58,28
동대문구,2016-01-29,55,24
동대문구,2016-01-30,39,22
동대문구,2016-01-31,41,19
동대문구,2016-02-01,40,17
동대문구,2016-02-02,45,20
동대문구,2016-02-03,59,28
동대문구,2016-02-04,57,27
동대문구,2016-02-05,44,17
동대문구,2016-02-06,51,21
동대문구,2016-02-07,53,21
동대문구,2016-02-08,72,35
동대문구,2016-02-09,58,26
동대문구,2016-02-10,39,20
동대문구,2016-02-11,49,23
동대문구,2016-02-12,39,22
동대문구,2016-02-13,18,11
동대문구,2016-02-14,28,15
동대문구,2016-02-15,36,10
동대문구,2016-02-16,29,14
동대문구,2016-02-17,41,16
동대문구,2016-02-18,45,21
동대문구,2016-02-19,86,38
동대문구,2016-02-20,49,17
동대문구,2016-02-21,27,10
동대문구,2016-02-22,45,16
동대문구,2016-02-23,57,25
동대문구,2016-02-24,33,16
동대문구,2016-02-25,50,23
동대문구,2016-02-26,51,25
동대문구,2016-02-27,71,36
동대문구,2016-02-28,48,25
동대문구,2016-02-29,58,25
동대문구,2016-03-01,34,17
동대문구,2016-03-02,38,19
동대문구,2016-03-03,56,28
동대문구,2016-03-04,75,35
동대문구,2016-03-05,23,13
동대문구,2016-03-06,84,18
동대문구,2016-03-07,118,24
동대문구,2016-03-08,76,17
동대문구,2016-03-09,49,14
동대문구,2016-03-10,36,12
동대문구,2016-03-11,36,15
동대문구,2016-03-12,45,18
동대문구,2016-03-13,60,31
동대문구,2016-03-14,63,37
동대문구,2016-03-15,57,24
동대문구,2016-03-16,64,27
동대문구,2016-03-17,74,34
동대문구,2016-03-18,69,32
동대문구,2016-03-19,73,37
동대문구,2016-03-20,78,39
동대문구,2016-03-21,86,47
동대문구,2016-03-22,73,41
동대문구,2016-03-23,85,45
동대문구,2016-03-24,38,20
동대문구,2016-03-25,71,33
동대문구,2016-03-26,66,37
동대문구,2016-03-27,67,37
동대문구,2016-03-28,70,35
동대문구,2016-03-29,99,46
동대문구,2016-03-30,96,44
동대문구,2016-03-31,50,18
동대문구,2016-04-01,72,27
동대문구,2016-04-02,79,35
동대문구,2016-04-03,51,27
동대문구,2016-04-04,29,12
동대문구,2016-04-05,60,20
동대문구,2016-04-06,74,31
동대문구,2016-04-07,41,20
동대문구,2016-04-08,82,39
동대문구,2016-04-09,135,61
동대문구,2016-04-10,164,75
동대문구,2016-04-11,49,20
동대문구,2016-04-12,61,26
동대문구,2016-04-13,60,31
동대문구,2016-04-14,62,31
동대문구,2016-04-15,57,26
동대문구,2016-04-16,54,24
동대문구,2016-04-17,45,17
동대문구,2016-04-18,68,23
동대문구,2016-04-19,46,20
동대문구,2016-04-20,67,29
동대문구,2016-04-21,30,16
동대문구,2016-04-22,83,44
동대문구,2016-04-23,213,39
동대문구,2016-04-24,169,27
동대문구,2016-04-25,81,24
동대문구,2016-04-26,84,29
동대문구,2016-04-27,53,16
동대문구,2016-04-28,62,20
동대문구,2016-04-29,64,25
동대문구,2016-04-30,82,34
동대문구,2016-05-01,53,20
동대문구,2016-05-02,49,23
동대문구,2016-05-03,18,8
동대문구,2016-05-04,53,12
동대문구,2016-05-05,57,20
동대문구,2016-05-06,46,19
동대문구,2016-05-07,127,20
동대문구,2016-05-08,58,16
동대문구,2016-05-09,62,21
동대문구,2016-05-10,37,17
동대문구,2016-05-11,30,14
동대문구,2016-05-12,31,16
동대문구,2016-05-13,39,22
동대문구,2016-05-14,39,20
동대문구,2016-05-15,38,22
동대문구,2016-05-16,35,17
동대문구,2016-05-17,70,36
동대문구,2016-05-18,49,26
동대문구,2016-05-19,40,22
동대문구,2016-05-20,51,28
동대문구,2016-05-21,38,25
동대문구,2016-05-22,54,37
동대문구,2016-05-23,70,46
동대문구,2016-05-24,35,23
동대문구,2016-05-25,91,59
동대문구,2016-05-26,116,68
동대문구,2016-05-27,101,51
동대문구,2016-05-28,79,36
동대문구,2016-05-29,84,40
동대문구,2016-05-30,93,50
동대문구,2016-05-31,87,45
동대문구,2016-06-01,42,21
동대문구,2016-06-02,33,16
동대문구,2016-06-03,45,24
동대문구,2016-06-04,54,27
동대문구,2016-06-05,52,27
동대문구,2016-06-06,24,14
동대문구,2016-06-07,39,25
동대문구,2016-06-08,39,25
동대문구,2016-06-09,49,30
동대문구,2016-06-10,63,38
동대문구,2016-06-11,47,30
동대문구,2016-06-12,28,20
동대문구,2016-06-13,58,36
동대문구,2016-06-14,52,32
동대문구,2016-06-15,34,22
동대문구,2016-06-16,28,18
동대문구,2016-06-17,54,36
동대문구,2016-06-18,66,44
동대문구,2016-06-19,39,28
동대문구,2016-06-20,48,34
동대문구,2016-06-21,67,44
동대문구,2016-06-22,67,44
동대문구,2016-06-23,41,29
동대문구,2016-06-24,75,29
동대문구,2016-06-25,34,17
동대문구,2016-06-26,33,18
동대문구,2016-06-27,36,21
동대문구,2016-06-28,61,37
동대문구,2016-06-29,39,26
동대문구,2016-06-30,27,18
동대문구,2016-07-01,21,13
동대문구,2016-07-02,14,9
동대문구,2016-07-03,36,26
동대문구,2016-07-04,25,16
동대문구,2016-07-05,12,7
동대문구,2016-07-06,15,8
동대문구,2016-07-07,40,24
동대문구,2016-07-08,59,32
동대문구,2016-07-09,38,22
동대문구,2016-07-10,36,23
동대문구,2016-07-11,55,36
동대문구,2016-07-12,37,26
동대문구,2016-07-13,30,17
동대문구,2016-07-14,23,15
동대문구,2016-07-15,18,11
동대문구,2016-07-16,11,5
동대문구,2016-07-17,13,10
동대문구,2016-07-18,27,16
동대문구,2016-07-19,34,22
동대문구,2016-07-20,35,23
동대문구,2016-07-21,30,19
동대문구,2016-07-22,36,23
동대문구,2016-07-23,41,28
동대문구,2016-07-24,33,23
동대문구,2016-07-25,41,30
동대문구,2016-07-26,32,23
동대문구,2016-07-27,33,22
동대문구,2016-07-28,52,36
동대문구,2016-07-29,46,26
동대문구,2016-07-30,39,28
동대문구,2016-07-31,35,25
동대문구,2016-08-01,32,21
동대문구,2016-08-02,26,16
동대문구,2016-08-03,28,17
동대문구,2016-08-04,30,19
동대문구,2016-08-05,38,27
동대문구,2016-08-06,59,41
동대문구,2016-08-07,36,27
동대문구,2016-08-08,39,27
동대문구,2016-08-09,30,20
동대문구,2016-08-10,80,37
동대문구,2016-08-11,30,20
동대문구,2016-08-12,42,29
동대문구,2016-08-13,35,24
동대문구,2016-08-14,35,29
동대문구,2016-08-15,34,23
동대문구,2016-08-16,48,31
동대문구,2016-08-17,37,24
동대문구,2016-08-18,52,34
동대문구,2016-08-19,60,37
동대문구,2016-08-20,34,21
동대문구,2016-08-21,25,17
동대문구,2016-08-22,30,19
동대문구,2016-08-23,52,39
동대문구,2016-08-24,35,23
동대문구,2016-08-25,26,15
동대문구,2016-08-26,14,7
동대문구,2016-08-27,15,5
동대문구,2016-08-28,11,4
동대문구,2016-08-29,16,6
동대문구,2016-08-30,27,9
