구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
동작구,2016-01-01,57,41
동작구,2016-01-02,46,33
동작구,2016-01-03,90,58
동작구,2016-01-04,76,55
동작구,2016-01-05,29,18
동작구,2016-01-06,48,33
동작구,2016-01-07,35,24
동작구,2016-01-08,28,15
동작구,2016-01-09,31,16
동작구,2016-01-10,29,18
동작구,2016-01-11,35,19
동작구,2016-01-12,36,20
동작구,2016-01-13,31,18
동작구,2016-01-14,34,18
동작구,2016-01-15,43,26
동작구,2016-01-16,71,45
동작구,2016-01-17,64,43
동작구,2016-01-18,50,30
동작구,2016-01-19,24,11
동작구,2016-01-20,30,18
동작구,2016-01-21,38,24
동작구,2016-01-22,36,21
동작구,2016-01-23,24,13
동작구,2016-01-24,31,17
동작구,2016-01-25,37,14
동작구,2016-01-26,65,32
동작구,2016-01-27,62,32
동작구,2016-01-28,59,37
동작구,2016-01-29,49,31
동작구,2016-01-30,36,25
동작구,2016-01-31,38,23
동작구,2016-02-01,35,20
동작구,2016-02-02,35,20
동작구,2016-02-03,43,25
동작구,2016-02-04,47,31
동작구,2016-02-05,39,20
동작구,2016-02-06,43,22
동작구,2016-02-07,36,20
동작구,2016-02-08,56,34
동작구,2016-02-09,47,26
동작구,2016-02-10,33,21
동작구,2016-02-11,40,24
동작구,2016-02-12,30,21
동작구,2016-02-13,11,10
동작구,2016-02-14,25,16
동작구,2016-02-15,26,11
동작구,2016-02-16,20,14
동작구,2016-02-17,29,12
동작구,2016-02-18,33,18
동작구,2016-02-19,71,39
동작구,2016-02-20,37,16
동작구,2016-02-21,20,11
동작구,2016-02-22,33,15
동작구,2016-02-23,50,28
동작구,2016-02-24,26,16
동작구,2016-02-25,38,23
동작구,2016-02-26,42,27
동작구,2016-02-27,57,38
동작구,2016-02-28,43,29
동작구,2016-02-29,46,26
동작구,2016-03-01,22,14
동작구,2016-03-02,35,21
동작구,2016-03-03,41,24
동작구,2016-03-04,60,34
동작구,2016-03-05,19,11
동작구,2016-03-06,80,18
동작구,2016-03-07,90,23
동작구,2016-03-08,72,22
동작구,2016-03-09,39,16
동작구,2016-03-10,31,15
동작구,2016-03-11,32,19
동작구,2016-03-12,36,19
동작구,2016-03-13,59,39
동작구,2016-03-14,63,47
동작구,2016-03-15,51,32
동작구,2016-03-16,62,40
동작구,2016-03-17,70,48
동작구,2016-03-18,64,43
동작구,2016-03-19,71,43
동작구,2016-03-20,71,45
동작구,2016-03-21,79,54
동작구,2016-03-22,70,55
동작구,2016-03-23,88,66
동작구,2016-03-24,37,25
동작구,2016-03-25,69,46
동작구,2016-03-26,64,50
동작구,2016-03-27,68,55
동작구,2016-03-28,70,55
동작구,2016-03-29,96,67
동작구,2016-03-30,109,73
동작구,2016-03-31,50,31
동작구,2016-04-01,68,43
동작구,2016-04-02,75,52
동작구,2016-04-03,63,55
동작구,2016-04-04,30,18
동작구,2016-04-05,55,29
동작구,2016-04-06,77,54
동작구,2016-04-07,52,42
동작구,2016-04-08,77,50
동작구,2016-04-09,116,70
동작구,2016-04-10,131,77
동작구,2016-04-11,49,23
동작구,2016-04-12,55,29
동작구,2016-04-13,58,35
동작구,2016-04-14,61,37
동작구,2016-04-15,54,28
동작구,2016-04-16,50,25
동작구,2016-04-17,40,15
동작구,2016-04-18,59,22
동작구,2016-04-19,46,22
동작구,2016-04-20,59,30
동작구,2016-04-21,33,21
동작구,2016-04-22,76,46
동작구,2016-04-23,173,48
동작구,2016-04-24,139,23
동작구,2016-04-25,68,22
동작구,2016-04-26,68,25
동작구,2016-04-27,46,14
동작구,2016-04-28,47,16
동작구,2016-04-29,58,25
동작구,2016-04-30,71,34
동작구,2016-05-01,38,17
동작구,2016-05-02,42,19
동작구,2016-05-03,22,10
동작구,2016-05-04,43,9
동작구,2016-05-05,47,17
동작구,2016-05-06,40,20
동작구,2016-05-07,103,20
동작구,2016-05-08,46,14
동작구,2016-05-09,50,18
동작구,2016-05-10,29,13
동작구,2016-05-11,24,10
동작구,2016-05-12,27,14
동작구,2016-05-13,40,19
동작구,2016-05-14,29,14
동작구,2016-05-15,31,17
동작구,2016-05-16,34,15
동작구,2016-05-17,65,35
동작구,2016-05-18,44,23
동작구,2016-05-19,32,15
동작구,2016-05-20,46,25
동작구,2016-05-21,36,22
동작구,2016-05-22,47,31
동작구,2016-05-23,61,37
동작구,2016-05-24,32,20
동작구,2016-05-25,82,52
동작구,2016-05-26,103,70
동작구,2016-05-27,96,61
동작구,2016-05-28,69,37
동작구,2016-05-29,69,35
동작구,2016-05-30,77,45
