구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
마포구,2016-01-01,61,51
마포구,2016-01-02,44,34
마포구,2016-01-03,85,65
마포구,2016-01-04,78,60
마포구,2016-01-05,25,19
마포구,2016-01-06,42,30
마포구,2016-01-07,32,22
마포구,2016-01-08,25,17
마포구,2016-01-09,29,20
마포구,2016-01-10,29,21
마포구,2016-01-11,31,22
마포구,2016-01-12,37,25
마포구,2016-01-13,28,19
마포구,2016-01-14,31,20
마포구,2016-01-15,40,29
마포구,2016-01-16,62,48
마포구,2016-01-17,62,49
마포구,2016-01-18,49,35
마포구,2016-01-19,22,12
마포구,2016-01-20,28,20
마포구,2016-01-21,35,26
마포구,2016-01-22,36,26
마포구,2016-01-23,22,14
마포구,2016-01-24,28,19
마포구,2016-01-25,33,15
마포구,2016-01-26,61,38
마포구,2016-01-27,50,32
마포구,2016-01-28,44,30
마포구,2016-01-29,40,27
마포구,2016-01-30,36,27
마포구,2016-01-31,30,21
마포구,2016-02-01,29,18
마포구,2016-02-02,32,21
마포구,2016-02-03,44,31
마포구,2016-02-04,46,34
마포구,2016-02-05,32,20
마포구,2016-02-06,38,24
마포구,2016-02-07,35,24
마포구,2016-02-08,58,38
마포구,2016-02-09,41,28
마포구,2016-02-10,32,23
마포구,2016-02-11,36,24
마포구,2016-02-12,36,24
마포구,2016-02-13,16,11
마포구,2016-02-14,26,18
마포구,2016-02-15,23,12
마포구,2016-02-16,23,16
마포구,2016-02-17,28,15
마포구,2016-02-18,35,23
마포구,2016-02-19,69,43
마포구,2016-02-20,33,18
마포구,2016-02-21,22,13
마포구,2016-02-22,31,17
마포구,2016-02-23,48,31
마포구,2016-02-24,25,17
마포구,2016-02-25,40,27
마포구,2016-02-26,49,33
마포구,2016-02-27,68,49
마포구,2016-02-28,44,30
마포구,2016-02-29,47,28
마포구,2016-03-01,30,18
마포구,2016-03-02,34,23
마포구,2016-03-03,48,31
마포구,2016-03-04,68,43
마포구,2016-03-05,25,16
마포구,2016-03-06,81,26
마포구,2016-03-07,92,30
마포구,2016-03-08,65,24
마포구,2016-03-09,37,16
