구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
서대문구,2016-01-01,71,40
서대문구,2016-01-02,53,26
서대문구,2016-01-03,106,51
서대문구,2016-01-04,94,45
서대문구,2016-01-05,36,17
서대문구,2016-01-06,56,27
서대문구,2016-01-07,45,21
서대문구,2016-01-08,34,15
서대문구,2016-01-09,39,19
서대문구,2016-01-10,34,18
서대문구,2016-01-11,42,20
서대문구,2016-01-12,53,23
서대문구,2016-01-13,37,17
서대문구,2016-01-14,44,19
서대문구,2016-01-15,47,26
서대문구,2016-01-16,64,37
서대문구,2016-01-17,67,43
서대문구,2016-01-18,61,32
서대문구,2016-01-19,36,12
서대문구,2016-01-20,35,20
서대문구,2016-01-21,47,27
서대문구,2016-01-22,50,26
서대문구,2016-01-23,32,13
서대문구,2016-01-24,39,18
서대문구,2016-01-25,55,15
서대문구,2016-01-26,84,35
서대문구,2016-01-27,63,28
서대문구,2016-01-28,52,24
서대문구,2016-01-29,46,23
서대문구,2016-01-30,44,26
서대문구,2016-01-31,42,21
서대문구,2016-02-01,40,16
서대문구,2016-02-02,46,20
서대문구,2016-02-03,55,26
서대문구,2016-02-04,53,28
서대문구,2016-02-05,44,17
서대문구,2016-02-06,54,23
서대문구,2016-02-07,50,23
서대문구,2016-02-08,72,35
서대문구,2016-02-09,59,27
서대문구,2016-02-10,36,18
서대문구,2016-02-11,37,16
서대문구,2016-02-12,28,16
서대문구,2016-02-13,11,7
서대문구,2016-02-14,32,16
서대문구,2016-02-15,37,11
서대문구,2016-02-16,28,14
서대문구,2016-02-17,40,13
서대문구,2016-02-18,44,19
서대문구,2016-02-19,82,38
서대문구,2016-02-20,44,14
서대문구,2016-02-21,28,11
서대문구,2016-02-22,44,17
서대문구,2016-02-23,55,26
서대문구,2016-02-24,33,16
서대문구,2016-02-25,48,24
서대문구,2016-02-26,51,28
서대문구,2016-02-27,69,42
서대문구,2016-02-28,44,24
서대문구,2016-02-29,58,20
서대문구,2016-03-01,32,18
서대문구,2016-03-02,36,19
서대문구,2016-03-03,55,29
서대문구,2016-03-04,66,36
서대문구,2016-03-05,22,13
서대문구,2016-03-06,105,21
서대문구,2016-03-07,124,27
서대문구,2016-03-08,93,24
서대문구,2016-03-09,47,16
서대문구,2016-03-10,37,14
서대문구,2016-03-11,37,17
서대문구,2016-03-12,45,17
서대문구,2016-03-13,62,34
서대문구,2016-03-14,65,44
서대문구,2016-03-15,57,26
서대문구,2016-03-16,62,29
서대문구,2016-03-17,74,38
서대문구,2016-03-18,64,33
서대문구,2016-03-19,80,40
서대문구,2016-03-20,92,47
서대문구,2016-03-21,96,50
서대문구,2016-03-22,78,47
서대문구,2016-03-23,81,48
서대문구,2016-03-24,48,24
서대문구,2016-03-25,77,37
서대문구,2016-03-26,69,42
서대문구,2016-03-27,70,44
서대문구,2016-03-28,67,37
서대문구,2016-03-29,98,39
서대문구,2016-03-30,102,57
서대문구,2016-03-31,52,22
서대문구,2016-04-01,74,32
서대문구,2016-04-02,86,43
서대문구,2016-04-03,50,30
서대문구,2016-04-04,31,14
서대문구,2016-04-05,67,24
서대문구,2016-04-06,78,40
서대문구,2016-04-07,39,25
서대문구,2016-04-08,80,41
서대문구,2016-04-09,121,58
서대문구,2016-04-10,133,70
서대문구,2016-04-11,52,22
서대문구,2016-04-12,62,29
서대문구,2016-04-13,59,35
서대문구,2016-04-14,60,35
서대문구,2016-04-15,56,31
서대문구,2016-04-16,53,29
서대문구,2016-04-17,51,19
서대문구,2016-04-18,67,28
서대문구,2016-04-19,47,24
서대문구,2016-04-20,66,37
서대문구,2016-04-21,26,17
서대문구,2016-04-22,82,55
서대문구,2016-04-23,216,54
서대문구,2016-04-24,172,36
서대문구,2016-04-25,82,28
서대문구,2016-04-26,84,34
