구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
서초구,2016-01-01,78,43
서초구,2016-01-02,51,25
서초구,2016-01-03,110,50
서초구,2016-01-04,113,46
서초구,2016-01-05,57,17
서초구,2016-01-06,67,25
서초구,2016-01-07,54,20
서초구,2016-01-08,48,18
서초구,2016-01-09,52,19
서초구,2016-01-10,41,18
서초구,2016-01-11,58,22
서초구,2016-01-12,66,28
서초구,2016-01-13,53,15
서초구,2016-01-14,54,23
서초구,2016-01-15,47,25
서초구,2016-01-16,58,37
서초구,2016-01-17,57,39
서초구,2016-01-18,82,41
서초구,2016-01-19,48,16
서초구,2016-01-20,38,20
서초구,2016-01-21,52,27
서초구,2016-01-22,54,26
서초구,2016-01-23,69,21
서초구,2016-01-24,36,18
서초구,2016-01-25,53,17
서초구,2016-01-26,78,31
서초구,2016-01-27,63,28
서초구,2016-01-28,61,27
서초구,2016-01-29,59,24
서초구,2016-01-30,41,20
서초구,2016-01-31,41,19
서초구,2016-02-01,56,20
서초구,2016-02-02,54,21
서초구,2016-02-03,64,26
서초구,2016-02-04,66,29
서초구,2016-02-05,61,23
서초구,2016-02-06,48,22
서초구,2016-02-07,42,20
서초구,2016-02-08,64,31
서초구,2016-02-09,69,25
서초구,2016-02-10,43,20
서초구,2016-02-11,43,20
서초구,2016-02-12,34,20
서초구,2016-02-13,15,10
서초구,2016-02-14,28,15
서초구,2016-02-15,46,13
서초구,2016-02-16,26,13
서초구,2016-02-17,40,14
서초구,2016-02-18,36,18
서초구,2016-02-19,88,36
서초구,2016-02-20,58,18
서초구,2016-02-21,25,10
서초구,2016-02-22,45,15
서초구,2016-02-23,65,27
서초구,2016-02-24,40,17
서초구,2016-02-25,43,23
서초구,2016-02-26,52,27
서초구,2016-02-27,68,36
서초구,2016-02-28,50,25
서초구,2016-02-29,57,29
서초구,2016-03-01,35,16
서초구,2016-03-02,32,18
서초구,2016-03-03,56,25
서초구,2016-03-04,67,32
서초구,2016-03-05,20,12
서초구,2016-03-06,94,19
서초구,2016-03-07,113,27
서초구,2016-03-08,85,21
서초구,2016-03-09,57,16
서초구,2016-03-10,56,18
서초구,2016-03-11,46,18
서초구,2016-03-12,38,16
서초구,2016-03-13,59,29
서초구,2016-03-14,72,39
서초구,2016-03-15,60,24
서초구,2016-03-16,76,27
서초구,2016-03-17,83,38
서초구,2016-03-18,79,32
서초구,2016-03-19,89,36
서초구,2016-03-20,79,38
서초구,2016-03-21,87,39
서초구,2016-03-22,71,36
서초구,2016-03-23,95,39
서초구,2016-03-24,38,18
서초구,2016-03-25,69,33
서초구,2016-03-26,65,36
서초구,2016-03-27,66,34
서초구,2016-03-28,69,32
서초구,2016-03-29,94,42
서초구,2016-03-30,102,44
서초구,2016-03-31,52,20
서초구,2016-04-01,83,16
서초구,2016-04-02,86,19
서초구,2016-04-03,56,27
서초구,2016-04-04,32,12
서초구,2016-04-05,57,18
서초구,2016-04-06,77,29
서초구,2016-04-07,46,21
서초구,2016-04-08,71,29
서초구,2016-04-09,114,45
서초구,2016-04-10,130,48
서초구,2016-04-11,52,20
서초구,2016-04-12,58,23
서초구,2016-04-13,55,26
서초구,2016-04-14,53,24
서초구,2016-04-15,54,24
서초구,2016-04-16,58,23
서초구,2016-04-17,47,16
서초구,2016-04-18,65,19
서초구,2016-04-19,49,20
서초구,2016-04-20,65,26
서초구,2016-04-21,30,16
서초구,2016-04-22,74,38
서초구,2016-04-23,226,38
서초구,2016-04-24,196,25
서초구,2016-04-25,87,24
서초구,2016-04-26,100,28
서초구,2016-04-27,54,15
서초구,2016-04-28,62,19
서초구,2016-04-29,74,25
서초구,2016-04-30,88,32
서초구,2016-05-01,49,18
서초구,2016-05-02,47,22
서초구,2016-05-03,17,9
서초구,2016-05-04,63,12
서초구,2016-05-05,56,20
서초구,2016-05-06,44,21
서초구,2016-05-07,131,21
서초구,2016-05-08,55,17
서초구,2016-05-09,65,22
서초구,2016-05-10,33,14
서초구,2016-05-11,30,13
서초구,2016-05-12,30,13
서초구,2016-05-13,48,19
서초구,2016-05-14,36,18
서초구,2016-05-15,36,18
서초구,2016-05-16,41,16
서초구,2016-05-17,72,36
서초구,2016-05-18,65,29
서초구,2016-05-19,46,22
서초구,2016-05-20,65,30
서초구,2016-05-21,42,26
서초구,2016-05-22,62,38
서초구,2016-05-23,81,48
서초구,2016-05-24,31,22
서초구,2016-05-25,84,56
서초구,2016-05-26,113,67
서초구,2016-05-27,108,51
서초구,2016-05-28,93,40
서초구,2016-05-29,95,40
서초구,2016-05-30,107,52
서초구,2016-05-31,90,50
서초구,2016-06-01,32,24
서초구,2016-06-02,37,21
서초구,2016-06-03,47,24
서초구,2016-06-04,52,28
서초구,2016-06-05,50,30
서초구,2016-06-06,22,13
서초구,2016-06-07,36,25
서초구,2016-06-08,32,22
서초구,2016-06-09,59,32
서초구,2016-06-10,59,35
서초구,2016-06-11,44,29
서초구,2016-06-12,28,18
서초구,2016-06-13,73,38
서초구,2016-06-14,48,30
서초구,2016-06-15,34,23
서초구,2016-06-16,29,18
서초구,2016-06-17,39,34
서초구,2016-06-18,67,45
서초구,2016-06-19,33,26
서초구,2016-06-20,55,38
서초구,2016-06-21,46,41
서초구,2016-06-22,81,46
서초구,2016-06-23,41,31
서초구,2016-06-24,73,35
서초구,2016-06-25,28,17
서초구,2016-06-26,34,19
서초구,2016-06-27,27,20
서초구,2016-06-28,62,41
서초구,2016-06-29,39,24
서초구,2016-06-30,21,16
서초구,2016-07-01,21,12
서초구,2016-07-02,12,8
서초구,2016-07-03,40,28
서초구,2016-07-04,22,14
서초구,2016-07-05,14,7
서초구,2016-07-06,16,9
서초구,2016-07-07,45,24
서초구,2016-07-08,58,35
서초구,2016-07-09,52,26
서초구,2016-07-10,42,23
서초구,2016-07-11,53,38
서초구,2016-07-12,37,25
서초구,2016-07-13,32,19
서초구,2016-07-14,33,20
서초구,2016-07-15,16,10
서초구,2016-07-16,11,5
서초구,2016-07-17,12,8
서초구,2016-07-18,32,16
서초구,2016-07-19,40,23
서초구,2016-07-20,32,24
서초구,2016-07-21,31,19
서초구,2016-07-22,29,23
서초구,2016-07-23,41,28
서초구,2016-07-24,39,22
서초구,2016-07-25,42,28
서초구,2016-07-26,33,23
서초구,2016-07-27,33,22
서초구,2016-07-28,57,37
서초구,2016-07-29,50,26
서초구,2016-07-30,46,28
서초구,2016-07-31,40,25
서초구,2016-08-01,31,22
서초구,2016-08-02,21,16
서초구,2016-08-03,29,19
서초구,2016-08-04,27,21
서초구,2016-08-05,41,31
서초구,2016-08-06,50,40
서초구,2016-08-07,28,25
서초구,2016-08-08,37,27
서초구,2016-08-09,24,17
서초구,2016-08-10,49,38
서초구,2016-08-11,31,21
서초구,2016-08-12,39,29
서초구,2016-08-13,33,26
서초구,2016-08-14,32,26
서초구,2016-08-15,35,24
서초구,2016-08-16,41,29
서초구,2016-08-17,41,28
서초구,2016-08-18,42,35
서초구,2016-08-19,44,42
서초구,2016-08-20,37,21
서초구,2016-08-21,29,18
서초구,2016-08-22,35,19
서초구,2016-08-23,38,21
서초구,2016-08-24,34,20
서초구,2016-08-25,34,18
서초구,2016-08-26,12,5
서초구,2016-08-27,12,5
서초구,2016-08-28,11,4
서초구,2016-08-29,17,6
서초구,2016-08-30,34,9
서초구,2016-08-31,18,5
서초구,2016-09-01,60,31
서초구,2016-09-02,35,22
서초구,2016-09-03,22,13
서초구,2016-09-04,26,14
서초구,2016-09-05,34,16
서초구,2016-09-06,60,32
서초구,2016-09-07,83,51
서초구,2016-09-08,52,30
서초구,2016-09-09,46,26
서초구,2016-09-10,47,27
서초구,2016-09-11,41,26
서초구,2016-09-12,33,19
서초구,2016-09-13,20,10
서초구,2016-09-14,33,20
서초구,2016-09-15,43,26
서초구,2016-09-16,57,35
서초구,2016-09-17,29,17
