구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
성동구,2016-01-01,80,41
성동구,2016-01-02,45,27
성동구,2016-01-03,93,48
성동구,2016-01-04,34,51
성동구,2016-01-05,34,16
성동구,2016-01-06,60,28
성동구,2016-01-07,45,21
성동구,2016-01-08,35,16
성동구,2016-01-09,39,17
성동구,2016-01-10,34,17
성동구,2016-01-11,44,20
성동구,2016-01-12,55,22
성동구,2016-01-13,40,19
성동구,2016-01-14,54,19
성동구,2016-01-15,53,26
성동구,2016-01-16,71,37
성동구,2016-01-17,72,42
성동구,2016-01-18,70,32
성동구,2016-01-19,44,13
성동구,2016-01-20,39,21
성동구,2016-01-21,57,29
성동구,2016-01-22,58,28
성동구,2016-01-23,39,14
성동구,2016-01-24,42,19
성동구,2016-01-25,55,15
성동구,2016-01-26,88,34
성동구,2016-01-27,69,30
성동구,2016-01-28,66,29
성동구,2016-01-29,55,26
성동구,2016-01-30,42,24
성동구,2016-01-31,46,21
성동구,2016-02-01,46,17
성동구,2016-02-02,50,20
성동구,2016-02-03,62,32
성동구,2016-02-04,63,31
성동구,2016-02-05,52,20
성동구,2016-02-06,58,23
성동구,2016-02-07,55,23
성동구,2016-02-08,76,37
성동구,2016-02-09,69,30
성동구,2016-02-10,53,23
성동구,2016-02-11,62,28
성동구,2016-02-12,42,22
성동구,2016-02-13,20,11
성동구,2016-02-14,33,17
성동구,2016-02-15,38,11
성동구,2016-02-16,30,14
성동구,2016-02-17,42,14
성동구,2016-02-18,49,20
성동구,2016-02-19,92,38
성동구,2016-02-20,52,18
성동구,2016-02-21,29,11
성동구,2016-02-22,48,16
성동구,2016-02-23,60,26
성동구,2016-02-24,35,16
성동구,2016-02-25,53,23
성동구,2016-02-26,53,24
성동구,2016-02-27,71,36
성동구,2016-02-28,53,26
성동구,2016-02-29,61,27
성동구,2016-03-01,34,17
성동구,2016-03-02,40,18
성동구,2016-03-03,62,25
성동구,2016-03-04,87,34
성동구,2016-03-05,25,13
성동구,2016-03-06,95,20
성동구,2016-03-07,126,27
성동구,2016-03-08,84,20
성동구,2016-03-09,49,15
성동구,2016-03-10,39,14
성동구,2016-03-11,37,16
성동구,2016-03-12,48,17
