구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
성북구,2016-01-01,71,45
성북구,2016-01-02,54,30
성북구,2016-01-03,78,49
성북구,2016-01-04,67,41
성북구,2016-01-05,28,14
성북구,2016-01-06,56,27
성북구,2016-01-07,39,18
성북구,2016-01-08,33,12
성북구,2016-01-09,37,18
성북구,2016-01-10,32,18
성북구,2016-01-11,36,18
성북구,2016-01-12,51,21
성북구,2016-01-13,39,18
성북구,2016-01-14,44,19
성북구,2016-01-15,50,28
성북구,2016-01-16,72,45
성북구,2016-01-17,75,51
성북구,2016-01-18,53,29
성북구,2016-01-19,36,12
성북구,2016-01-20,39,22
성북구,2016-01-21,57,28
성북구,2016-01-22,54,26
성북구,2016-01-23,31,12
성북구,2016-01-24,41,18
성북구,2016-01-25,50,15
성북구,2016-01-26,80,33
성북구,2016-01-27,62,26
성북구,2016-01-28,52,27
성북구,2016-01-29,52,23
성북구,2016-01-30,35,21
성북구,2016-01-31,40,18
성북구,2016-02-01,41,10
성북구,2016-02-02,43,11
성북구,2016-02-03,53,18
성북구,2016-02-04,50,11
성북구,2016-02-05,42,18
성북구,2016-02-06,48,25
성북구,2016-02-07,52,27
성북구,2016-02-08,66,37
성북구,2016-02-09,56,29
성북구,2016-02-10,37,21
성북구,2016-02-11,45,26
성북구,2016-02-12,30,18
성북구,2016-02-13,15,10
성북구,2016-02-14,28,15
성북구,2016-02-15,33,14
성북구,2016-02-16,27,14
성북구,2016-02-17,40,18
성북구,2016-02-18,43,22
성북구,2016-02-19,79,40
성북구,2016-02-20,46,21
성북구,2016-02-21,26,13
성북구,2016-02-22,44,21
성북구,2016-02-23,49,24
성북구,2016-02-24,32,18
성북구,2016-02-25,44,24
성북구,2016-02-26,45,25
성북구,2016-02-27,59,36
성북구,2016-02-28,42,25
성북구,2016-02-29,57,29
성북구,2016-03-01,30,17
성북구,2016-03-02,37,19
성북구,2016-03-03,55,29
성북구,2016-03-04,72,41
성북구,2016-03-05,21,13
성북구,2016-03-06,80,28
성북구,2016-03-07,116,41
성북구,2016-03-08,69,24
성북구,2016-03-09,46,21
성북구,2016-03-10,34,16
성북구,2016-03-11,35,18
성북구,2016-03-12,45,19
성북구,2016-03-13,57,31
성북구,2016-03-14,60,40
성북구,2016-03-15,52,25
성북구,2016-03-16,59,32
성북구,2016-03-17,63,35
성북구,2016-03-18,61,34
성북구,2016-03-19,73,38
성북구,2016-03-20,78,40
성북구,2016-03-21,84,45
성북구,2016-03-22,69,40
성북구,2016-03-23,76,47
성북구,2016-03-24,37,20
성북구,2016-03-25,70,35
성북구,2016-03-26,65,38
성북구,2016-03-27,63,39
성북구,2016-03-28,63,36
성북구,2016-03-29,91,48
성북구,2016-03-30,84,47
성북구,2016-03-31,46,16
성북구,2016-04-01,70,24
성북구,2016-04-02,76,32
성북구,2016-04-03,47,28
성북구,2016-04-04,30,12
성북구,2016-04-05,61,20
성북구,2016-04-06,70,29
성북구,2016-04-07,38,20
성북구,2016-04-08,74,36
성북구,2016-04-09,109,49
성북구,2016-04-10,127,61
성북구,2016-04-11,47,16
성북구,2016-04-12,54,20
성북구,2016-04-13,52,27
성북구,2016-04-14,53,26
성북구,2016-04-15,58,26
성북구,2016-04-16,58,25
성북구,2016-04-17,51,17
성북구,2016-04-18,70,22
성북구,2016-04-19,46,18
성북구,2016-04-20,68,28
성북구,2016-04-21,29,16
성북구,2016-04-22,81,46
성북구,2016-04-23,213,37
성북구,2016-04-24,156,26
성북구,2016-04-25,85,22
성북구,2016-04-26,91,29
성북구,2016-04-27,61,19
성북구,2016-04-28,69,23
