구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
송파구,2016-01-01,66,40
송파구,2016-01-02,40,25
송파구,2016-01-03,74,42
송파구,2016-01-04,65,38
송파구,2016-01-05,26,12
송파구,2016-01-06,56,27
송파구,2016-01-07,37,18
송파구,2016-01-08,34,17
송파구,2016-01-09,36,17
송파구,2016-01-10,27,14
송파구,2016-01-11,38,18
송파구,2016-01-12,55,24
송파구,2016-01-13,39,19
송파구,2016-01-14,42,19
송파구,2016-01-15,49,27
송파구,2016-01-16,59,35
송파구,2016-01-17,57,35
송파구,2016-01-18,57,29
송파구,2016-01-19,34,11
송파구,2016-01-20,38,22
송파구,2016-01-21,53,29
송파구,2016-01-22,62,31
송파구,2016-01-23,31,13
송파구,2016-01-24,39,19
송파구,2016-01-25,48,16
송파구,2016-01-26,74,33
송파구,2016-01-27,66,34
송파구,2016-01-28,64,33
송파구,2016-01-29,40,21
송파구,2016-01-30,38,23
송파구,2016-01-31,39,20
송파구,2016-02-01,39,17
송파구,2016-02-02,52,24
송파구,2016-02-03,62,32
송파구,2016-02-04,57,32
송파구,2016-02-05,48,20
송파구,2016-02-06,51,23
송파구,2016-02-07,51,23
송파구,2016-02-08,66,34
송파구,2016-02-09,56,28
송파구,2016-02-10,47,25
송파구,2016-02-11,51,26
송파구,2016-02-12,30,20
송파구,2016-02-13,16,11
송파구,2016-02-14,29,16
송파구,2016-02-15,34,10
송파구,2016-02-16,27,14
송파구,2016-02-17,40,15
송파구,2016-02-18,40,18
송파구,2016-02-19,82,38
송파구,2016-02-20,57,25
송파구,2016-02-21,26,10
송파구,2016-02-22,43,15
송파구,2016-02-23,49,22
송파구,2016-02-24,34,16
송파구,2016-02-25,47,22
송파구,2016-02-26,41,21
송파구,2016-02-27,54,32
송파구,2016-02-28,47,26
송파구,2016-02-29,55,26
송파구,2016-03-01,30,15
송파구,2016-03-02,34,18
송파구,2016-03-03,50,26
송파구,2016-03-04,63,33
송파구,2016-03-05,20,12
송파구,2016-03-06,83,18
송파구,2016-03-07,111,24
송파구,2016-03-08,41,11
송파구,2016-03-09,47,14
송파구,2016-03-10,35,12
송파구,2016-03-11,38,16
