구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
양천구,2016-01-01,85,67
양천구,2016-01-02,57,38
양천구,2016-01-03,113,77
양천구,2016-01-04,93,67
양천구,2016-01-05,35,20
양천구,2016-01-06,58,35
양천구,2016-01-07,46,26
양천구,2016-01-08,35,19
양천구,2016-01-09,39,24
양천구,2016-01-10,40,26
양천구,2016-01-11,44,26
양천구,2016-01-12,49,27
양천구,2016-01-13,39,23
양천구,2016-01-14,46,25
양천구,2016-01-15,58,38
양천구,2016-01-16,86,62
양천구,2016-01-17,78,59
양천구,2016-01-18,64,42
양천구,2016-01-19,33,15
양천구,2016-01-20,39,25
양천구,2016-01-21,54,36
양천구,2016-01-22,48,31
양천구,2016-01-23,35,17
양천구,2016-01-24,41,23
양천구,2016-01-25,52,20
양천구,2016-01-26,90,48
양천구,2016-01-27,66,38
양천구,2016-01-28,71,44
양천구,2016-01-29,66,40
양천구,2016-01-30,43,23
양천구,2016-01-31,43,20
양천구,2016-02-01,45,18
양천구,2016-02-02,46,20
양천구,2016-02-03,58,27
양천구,2016-02-04,58,31
양천구,2016-02-05,50,21
양천구,2016-02-06,52,23
양천구,2016-02-07,43,21
양천구,2016-02-08,70,35
양천구,2016-02-09,57,28
양천구,2016-02-10,46,25
양천구,2016-02-11,46,21
양천구,2016-02-12,35,22
양천구,2016-02-13,15,10
양천구,2016-02-14,33,18
양천구,2016-02-15,36,12
양천구,2016-02-16,32,19
양천구,2016-02-17,36,15
양천구,2016-02-18,47,25
양천구,2016-02-19,89,49
양천구,2016-02-20,45,20
양천구,2016-02-21,26,12
양천구,2016-02-22,43,18
양천구,2016-02-23,56,30
양천구,2016-02-24,33,18
양천구,2016-02-25,52,31
양천구,2016-02-26,54,34
양천구,2016-02-27,76,50
양천구,2016-02-28,52,33
양천구,2016-02-29,54,31
양천구,2016-03-01,31,19
양천구,2016-03-02,40,22
양천구,2016-03-03,53,30
양천구,2016-03-04,76,42
양천구,2016-03-05,26,14
양천구,2016-03-06,102,21
양천구,2016-03-07,102,26
양천구,2016-03-08,70,20
양천구,2016-03-09,41,14
양천구,2016-03-10,33,14
양천구,2016-03-11,36,18
양천구,2016-03-12,42,18
양천구,2016-03-13,63,36
양천구,2016-03-14,70,45
양천구,2016-03-15,56,30
양천구,2016-03-16,66,36
양천구,2016-03-17,81,46
양천구,2016-03-18,76,45
양천구,2016-03-19,72,37
양천구,2016-03-20,82,47
양천구,2016-03-21,86,50
양천구,2016-03-22,75,48
양천구,2016-03-23,82,48
양천구,2016-03-24,43,22
양천구,2016-03-25,69,37
양천구,2016-03-26,67,43
양천구,2016-03-27,66,43
양천구,2016-03-28,69,43
양천구,2016-03-29,98,53
양천구,2016-03-30,96,49
양천구,2016-03-31,57,28
양천구,2016-04-01,67,32
양천구,2016-04-02,76,40
양천구,2016-04-03,56,33
양천구,2016-04-04,32,13
양천구,2016-04-05,52,19
양천구,2016-04-06,75,39
양천구,2016-04-07,52,27
양천구,2016-04-08,65,33
양천구,2016-04-09,104,47
양천구,2016-04-10,116,53
양천구,2016-04-11,48,22
양천구,2016-04-12,59,29
양천구,2016-04-13,56,29
양천구,2016-04-14,49,24
양천구,2016-04-15,52,26
양천구,2016-04-16,50,24
양천구,2016-04-17,38,11
양천구,2016-04-18,52,18
양천구,2016-04-19,40,17
양천구,2016-04-20,59,28
양천구,2016-04-21,29,14
양천구,2016-04-22,67,34
양천구,2016-04-23,161,38
양천구,2016-04-24,148,22
양천구,2016-04-25,73,23
양천구,2016-04-26,70,25
양천구,2016-04-27,45,14
양천구,2016-04-28,49,18
양천구,2016-04-29,59,25
양천구,2016-04-30,64,31
양천구,2016-05-01,36,16
양천구,2016-05-02,42,18
양천구,2016-05-03,19,6
양천구,2016-05-04,37,7
양천구,2016-05-05,46,17
양천구,2016-05-06,43,18
양천구,2016-05-07,83,15
양천구,2016-05-08,44,14
양천구,2016-05-09,53,20
양천구,2016-05-10,29,12
양천구,2016-05-11,24,9
양천구,2016-05-12,25,12
양천구,2016-05-13,34,15
양천구,2016-05-14,30,14
양천구,2016-05-15,33,16
양천구,2016-05-16,29,12
양천구,2016-05-17,67,37
양천구,2016-05-18,57,31
양천구,2016-05-19,35,18
양천구,2016-05-20,53,28
양천구,2016-05-21,36,23
양천구,2016-05-22,51,35
양천구,2016-05-23,63,41
양천구,2016-05-24,31,19
양천구,2016-05-25,80,48
양천구,2016-05-26,94,55
양천구,2016-05-27,84,45
양천구,2016-05-28,71,34
양천구,2016-05-29,73,38
양천구,2016-05-30,94,51
양천구,2016-05-31,73,38
