구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
영등포구,2016-01-01,83,42
영등포구,2016-01-02,60,27
영등포구,2016-01-03,115,51
영등포구,2016-01-04,103,46
영등포구,2016-01-05,39,18
영등포구,2016-01-06,62,27
영등포구,2016-01-07,50,22
영등포구,2016-01-08,38,17
영등포구,2016-01-09,43,19
영등포구,2016-01-10,38,19
영등포구,2016-01-11,47,20
영등포구,2016-01-12,57,22
영등포구,2016-01-13,40,19
영등포구,2016-01-14,48,21
영등포구,2016-01-15,57,28
영등포구,2016-01-16,75,39
영등포구,2016-01-17,74,43
영등포구,2016-01-18,70,37
영등포구,2016-01-19,40,14
영등포구,2016-01-20,40,21
영등포구,2016-01-21,53,27
영등포구,2016-01-22,52,24
영등포구,2016-01-23,38,15
영등포구,2016-01-24,45,18
영등포구,2016-01-25,60,16
영등포구,2016-01-26,92,33
영등포구,2016-01-27,72,27
영등포구,2016-01-28,65,28
영등포구,2016-01-29,61,25
영등포구,2016-01-30,46,23
영등포구,2016-01-31,44,19
영등포구,2016-02-01,46,17
영등포구,2016-02-02,48,19
영등포구,2016-02-03,63,27
영등포구,2016-02-04,64,31
영등포구,2016-02-05,52,20
영등포구,2016-02-06,57,23
영등포구,2016-02-07,49,21
영등포구,2016-02-08,77,36
영등포구,2016-02-09,63,27
영등포구,2016-02-10,51,25
영등포구,2016-02-11,50,21
영등포구,2016-02-12,39,22
영등포구,2016-02-13,18,11
영등포구,2016-02-14,35,17
영등포구,2016-02-15,40,13
영등포구,2016-02-16,31,15
영등포구,2016-02-17,46,14
영등포구,2016-02-18,52,21
영등포구,2016-02-19,97,39
영등포구,2016-02-20,54,17
영등포구,2016-02-21,30,11
영등포구,2016-02-22,44,15
영등포구,2016-02-23,61,25
영등포구,2016-02-24,33,14
영등포구,2016-02-25,56,25
영등포구,2016-02-26,57,26
영등포구,2016-02-27,78,40
영등포구,2016-02-28,52,24
영등포구,2016-02-29,63,28
영등포구,2016-03-01,34,17
영등포구,2016-03-02,44,21
영등포구,2016-03-03,62,28
영등포구,2016-03-04,84,35
영등포구,2016-03-05,28,14
영등포구,2016-03-06,123,21
영등포구,2016-03-07,136,26
영등포구,2016-03-08,132,21
영등포구,2016-03-09,68,15
영등포구,2016-03-10,43,15
영등포구,2016-03-11,46,19
영등포구,2016-03-12,51,18
영등포구,2016-03-13,75,34
영등포구,2016-03-14,82,46
영등포구,2016-03-15,69,27
영등포구,2016-03-16,75,30
영등포구,2016-03-17,95,38
영등포구,2016-03-18,86,37
영등포구,2016-03-19,94,40
영등포구,2016-03-20,104,47
영등포구,2016-03-21,108,49
영등포구,2016-03-22,84,43
영등포구,2016-03-23,94,45
영등포구,2016-03-24,55,21
영등포구,2016-03-25,87,35
영등포구,2016-03-26,78,38
영등포구,2016-03-27,77,38
영등포구,2016-03-28,80,36
영등포구,2016-03-29,113,50
영등포구,2016-03-30,114,47
영등포구,2016-03-31,66,22
영등포구,2016-04-01,85,27
영등포구,2016-04-02,92,35
영등포구,2016-04-03,62,27
영등포구,2016-04-04,37,14
영등포구,2016-04-05,69,20
영등포구,2016-04-06,83,32
영등포구,2016-04-07,51,22
영등포구,2016-04-08,75,37
영등포구,2016-04-09,129,62
영등포구,2016-04-10,142,68
영등포구,2016-04-11,56,23
영등포구,2016-04-12,69,30
영등포구,2016-04-13,65,35
영등포구,2016-04-14,62,32
영등포구,2016-04-15,62,29
영등포구,2016-04-16,60,26
영등포구,2016-04-17,52,18
영등포구,2016-04-18,70,25
영등포구,2016-04-19,43,18
영등포구,2016-04-20,59,25
영등포구,2016-04-21,31,18
영등포구,2016-04-22,74,43
영등포구,2016-04-23,165,44
영등포구,2016-04-24,139,24
영등포구,2016-04-25,69,24
영등포구,2016-04-26,93,32
영등포구,2016-04-27,56,17
영등포구,2016-04-28,72,23
영등포구,2016-04-29,79,31
영등포구,2016-04-30,90,35
영등포구,2016-05-01,52,22
영등포구,2016-05-02,52,26
영등포구,2016-05-03,22,12
영등포구,2016-05-04,62,16
영등포구,2016-05-05,62,24
영등포구,2016-05-06,52,26
영등포구,2016-05-07,124,25
영등포구,2016-05-08,63,20
영등포구,2016-05-09,67,25
영등포구,2016-05-10,39,16
영등포구,2016-05-11,36,16
영등포구,2016-05-12,32,17
영등포구,2016-05-13,42,24
영등포구,2016-05-14,43,20
영등포구,2016-05-15,35,20
영등포구,2016-05-16,41,20
영등포구,2016-05-17,79,37
영등포구,2016-05-18,72,34
영등포구,2016-05-19,49,25
영등포구,2016-05-20,66,37
영등포구,2016-05-21,46,27
영등포구,2016-05-22,69,44
영등포구,2016-05-23,85,51
영등포구,2016-05-24,38,27
영등포구,2016-05-25,101,64
영등포구,2016-05-26,114,70
영등포구,2016-05-27,98,54
영등포구,2016-05-28,96,44
영등포구,2016-05-29,100,47
영등포구,2016-05-30,116,61
영등포구,2016-05-31,92,47
영등포구,2016-06-01,51,25
영등포구,2016-06-02,48,25
영등포구,2016-06-03,55,27
영등포구,2016-06-04,66,32
영등포구,2016-06-05,64,32
영등포구,2016-06-06,30,17
영등포구,2016-06-07,51,29
영등포구,2016-06-08,41,25
영등포구,2016-06-09,67,35
영등포구,2016-06-10,70,38
영등포구,2016-06-11,52,32
영등포구,2016-06-12,32,20
영등포구,2016-06-13,75,42
영등포구,2016-06-14,58,32
영등포구,2016-06-15,39,23
영등포구,2016-06-16,37,21
영등포구,2016-06-17,58,37
영등포구,2016-06-18,78,48
영등포구,2016-06-19,48,30
영등포구,2016-06-20,63,40
영등포구,2016-06-21,68,43
영등포구,2016-06-22,79,45
영등포구,2016-06-23,56,33
영등포구,2016-06-24,65,35
영등포구,2016-06-25,41,18
영등포구,2016-06-26,39,20
영등포구,2016-06-27,39,22
영등포구,2016-06-28,70,43
영등포구,2016-06-29,45,27
영등포구,2016-06-30,30,18
영등포구,2016-07-01,26,16
영등포구,2016-07-02,16,9
영등포구,2016-07-03,49,33
영등포구,2016-07-04,25,15
영등포구,2016-07-05,15,8
영등포구,2016-07-06,23,7
영등포구,2016-07-07,42,27
영등포구,2016-07-08,62,34
영등포구,2016-07-09,47,27
영등포구,2016-07-10,39,23
영등포구,2016-07-11,62,38
영등포구,2016-07-12,42,27
영등포구,2016-07-13,32,19
영등포구,2016-07-14,29,19
영등포구,2016-07-15,24,12
영등포구,2016-07-16,12,7
영등포구,2016-07-17,6,11
영등포구,2016-07-18,31,14
영등포구,2016-07-19,43,25
영등포구,2016-07-20,48,25
영등포구,2016-07-21,37,22
영등포구,2016-07-22,43,25
영등포구,2016-07-23,44,27
영등포구,2016-07-24,35,22
영등포구,2016-07-25,42,28
영등포구,2016-07-26,35,23
영등포구,2016-07-27,36,22
영등포구,2016-07-28,61,26
영등포구,2016-07-29,46,28
영등포구,2016-07-30,40,27
영등포구,2016-07-31,37,26
영등포구,2016-08-01,34,21
영등포구,2016-08-02,28,17
영등포구,2016-08-03,34,20
영등포구,2016-08-04,37,22
영등포구,2016-08-05,51,30
영등포구,2016-08-06,73,45
영등포구,2016-08-07,41,26
영등포구,2016-08-08,47,28
영등포구,2016-08-09,35,24
영등포구,2016-08-10,70,38
영등포구,2016-08-11,39,22
영등포구,2016-08-12,49,31
영등포구,2016-08-13,39,26
영등포구,2016-08-14,38,28
영등포구,2016-08-15,41,24
영등포구,2016-08-16,59,32
영등포구,2016-08-17,54,29
영등포구,2016-08-18,64,35
영등포구,2016-08-19,72,44
영등포구,2016-08-20,42,24
영등포구,2016-08-21,33,20
영등포구,2016-08-22,37,21
영등포구,2016-08-23,40,24
영등포구,2016-08-24,42,25
영등포구,2016-08-25,34,18
영등포구,2016-08-26,16,8
영등포구,2016-08-27,15,5
영등포구,2016-08-28,12,5
영등포구,2016-08-29,21,8
영등포구,2016-08-30,37,11
영등포구,2016-08-31,20,8
영등포구,2016-09-01,72,39
영등포구,2016-09-02,39,24
영등포구,2016-09-03,24,14
영등포구,2016-09-04,27,14
영등포구,2016-09-05,38,17
영등포구,2016-09-06,69,37
영등포구,2016-09-07,91,53
영등포구,2016-09-08,57,32
영등포구,2016-09-09,51,28
영등포구,2016-09-10,51,29
영등포구,2016-09-11,47,28
영등포구,2016-09-12,39,22
영등포구,2016-09-13,21,11
영등포구,2016-09-14,38,20
영등포구,2016-09-15,48,27
영등포구,2016-09-16,59,37
영등포구,2016-09-17,31,20
영등포구,2016-09-18,27,14
영등포구,2016-09-19,14,6
영등포구,2016-09-20,18,9
영등포구,2016-09-21,36,21
영등포구,2016-09-22,45,26
영등포구,2016-09-23,63,38
영등포구,2016-09-24,69,44
영등포구,2016-09-25,57,36
영등포구,2016-09-26,48,28
영등포구,2016-09-27,42,25
영등포구,2016-09-28,36,20
영등포구,2016-09-29,20,8
영등포구,2016-09-30,36,16
영등포구,2016-10-01,54,28
영등포구,2016-10-02,33,16
영등포구,2016-10-03,20,9
영등포구,2016-10-04,35,15
영등포구,2016-10-05,32,13
영등포구,2016-10-06,44,18
영등포구,2016-10-07,31,13
영등포구,2016-10-08,25,12
영등포구,2016-10-09,20,10
영등포구,2016-10-10,32,12
영등포구,2016-10-11,53,24
영등포구,2016-10-12,66,30
영등포구,2016-10-13,51,19
영등포구,2016-10-14,80,38
영등포구,2016-10-15,93,48
영등포구,2016-10-16,66,36
영등포구,2016-10-17,60,34
영등포구,2016-10-18,68,28
영등포구,2016-10-19,76,37
영등포구,2016-10-20,77,37
영등포구,2016-10-21,26,14
영등포구,2016-10-22,36,18
영등포구,2016-10-23,14,7
영등포구,2016-10-24,19,9
영등포구,2016-10-25,22,12
영등포구,2016-10-26,51,26
영등포구,2016-10-27,54,26
영등포구,2016-10-28,45,19
영등포구,2016-10-29,42,17
영등포구,2016-10-30,31,13
영등포구,2016-10-31,34,16
영등포구,2016-11-01,28,12
영등포구,2016-11-02,39,17
영등포구,2016-11-03,49,25
영등포구,2016-11-04,72,38
영등포구,2016-11-05,87,48
영등포구,2016-11-06,43,24
영등포구,2016-11-07,42,26
영등포구,2016-11-08,72,51
영등포구,2016-11-09,45,26
영등포구,2016-11-10,49,26
영등포구,2016-11-11,59,21
영등포구,2016-11-12,91,33
영등포구,2016-11-13,72,29
영등포구,2016-11-14,61,29
영등포구,2016-11-15,67,20
영등포구,2016-11-16,62,24
영등포구,2016-11-17,68,29
영등포구,2016-11-18,101,50
영등포구,2016-11-19,62,31
영등포구,2016-11-20,47,22
영등포구,2016-11-21,71,27
영등포구,2016-11-22,49,19
영등포구,2016-11-23,43,15
영등포구,2016-11-24,32,13
영등포구,2016-11-25,40,18
영등포구,2016-11-26,59,34
영등포구,2016-11-27,71,43
영등포구,2016-11-28,90,37
영등포구,2016-11-29,45,23
영등포구,2016-11-30,56,29
영등포구,2016-12-01,61,26
영등포구,2016-12-02,39,16
영등포구,2016-12-03,60,29
영등포구,2016-12-04,81,50
영등포구,2016-12-05,90,54
영등포구,2016-12-06,28,12
영등포구,2016-12-07,55,24
영등포구,2016-12-08,51,25
영등포구,2016-12-09,36,22
영등포구,2016-12-10,37,19
영등포구,2016-12-11,38,20
영등포구,2016-12-12,46,26
영등포구,2016-12-13,68,38
영등포구,2016-12-14,60,25
영등포구,2016-12-15,38,17
영등포구,2016-12-16,35,19
영등포구,2016-12-17,63,35
영등포구,2016-12-18,40,28
영등포구,2016-12-19,38,25
영등포구,2016-12-20,58,36
영등포구,2016-12-21,41,27
영등포구,2016-12-22,28,22
영등포구,2016-12-23,55,38
영등포구,2016-12-24,70,54
영등포구,2016-12-25,62,47
영등포구,2016-12-26,63,42
영등포구,2016-12-27,43,28
영등포구,2016-12-28,47,24
영등포구,2016-12-29,37,16
영등포구,2016-12-30,39,22
영등포구,2016-12-31,55,35
영등포구,2017-01-01,70,53
영등포구,2017-01-02,105,73
영등포구,2017-01-03,70,46
영등포구,2017-01-04,56,33
영등포구,2017-01-05,39,23
영등포구,2017-01-06,22,14
영등포구,2017-01-07,50,35
영등포구,2017-01-08,29,21
영등포구,2017-01-09,62,49
영등포구,2017-01-10,35,17
영등포구,2017-01-11,26,12
영등포구,2017-01-12,32,18
영등포구,2017-01-13,30,13
영등포구,2017-01-14,49,13
영등포구,2017-01-15,29,15
영등포구,2017-01-16,45,25
영등포구,2017-01-17,68,45
영등포구,2017-01-18,97,72
영등포구,2017-01-19,105,76
영등포구,2017-01-20,62,44
영등포구,2017-01-21,44,29
영등포구,2017-01-22,76,28
영등포구,2017-01-23,48,36
영등포구,2017-01-24,39,28
영등포구,2017-01-25,46,35
영등포구,2017-01-26,66,49
영등포구,2017-01-27,107,24
영등포구,2017-01-28,35,13
영등포구,2017-01-29,28,16
영등포구,2017-01-30,50,35
영등포구,2017-01-31,27,16
영등포구,2017-02-01,38,24
영등포구,2017-02-02,35,19
영등포구,2017-02-03,65,42
영등포구,2017-02-04,99,71
영등포구,2017-02-05,69,55
영등포구,2017-02-06,44,29
영등포구,2017-02-07,39,22
영등포구,2017-02-08,55,28
영등포구,2017-02-09,55,20
영등포구,2017-02-10,36,20
영등포구,2017-02-11,33,19
영등포구,2017-02-12,30,17
영등포구,2017-02-13,46,26
영등포구,2017-02-14,55,34
영등포구,2017-02-15,57,36
영등포구,2017-02-16,69,43
영등포구,2017-02-17,52,19
영등포구,2017-02-18,36,18
영등포구,2017-02-19,46,25
영등포구,2017-02-20,50,22
영등포구,2017-02-21,54,29
영등포구,2017-02-22,45,26
영등포구,2017-02-23,40,22
영등포구,2017-02-24,31,18
영등포구,2017-02-25,50,28
영등포구,2017-02-26,53,30
영등포구,2017-02-27,41,23
영등포구,2017-02-28,44,22
영등포구,2017-03-01,55,35
영등포구,2017-03-02,35,19
영등포구,2017-03-03,51,21
영등포구,2017-03-04,48,27
영등포구,2017-03-05,62,44
영등포구,2017-03-06,36,24
영등포구,2017-03-07,33,21
영등포구,2017-03-08,45,21
영등포구,2017-03-09,57,21
영등포구,2017-03-10,52,25
영등포구,2017-03-11,70,35
영등포구,2017-03-12,100,52
영등포구,2017-03-13,75,40
영등포구,2017-03-14,60,28
영등포구,2017-03-15,50,22
영등포구,2017-03-16,74,42
영등포구,2017-03-17,88,51
영등포구,2017-03-18,90,51
영등포구,2017-03-19,82,49
영등포구,2017-03-20,115,65
영등포구,2017-03-21,107,58
영등포구,2017-03-22,61,30
영등포구,2017-03-23,80,40
영등포구,2017-03-24,71,37
영등포구,2017-03-25,77,44
영등포구,2017-03-26,68,41
영등포구,2017-03-27,92,58
