구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
용산구,2016-01-01,60,47
용산구,2016-01-02,42,30
용산구,2016-01-03,82,60
용산구,2016-01-04,71,52
용산구,2016-01-05,26,17
용산구,2016-01-06,42,30
용산구,2016-01-07,33,22
용산구,2016-01-08,23,16
용산구,2016-01-09,29,20
용산구,2016-01-10,28,20
용산구,2016-01-11,32,21
용산구,2016-01-12,38,24
용산구,2016-01-13,28,19
용산구,2016-01-14,33,20
용산구,2016-01-15,39,28
용산구,2016-01-16,58,43
용산구,2016-01-17,58,46
용산구,2016-01-18,46,32
용산구,2016-01-19,24,14
용산구,2016-01-20,29,22
용산구,2016-01-21,39,29
용산구,2016-01-22,40,30
용산구,2016-01-23,24,15
용산구,2016-01-24,29,21
용산구,2016-01-25,36,17
용산구,2016-01-26,65,41
용산구,2016-01-27,51,34
용산구,2016-01-28,45,32
용산구,2016-01-29,41,32
용산구,2016-01-30,33,26
용산구,2016-01-31,32,23
용산구,2016-02-01,31,20
용산구,2016-02-02,34,22
용산구,2016-02-03,46,35
용산구,2016-02-04,47,35
용산구,2016-02-05,32,21
용산구,2016-02-06,40,25
용산구,2016-02-07,36,24
용산구,2016-02-08,58,41
용산구,2016-02-09,45,30
용산구,2016-02-10,32,23
용산구,2016-02-11,40,27
용산구,2016-02-12,33,26
용산구,2016-02-13,16,13
용산구,2016-02-14,26,19
용산구,2016-02-15,26,12
용산구,2016-02-16,24,16
용산구,2016-02-17,29,15
용산구,2016-02-18,36,23
용산구,2016-02-19,69,43
용산구,2016-02-20,35,20
용산구,2016-02-21,22,14
용산구,2016-02-22,34,17
용산구,2016-02-23,48,31
용산구,2016-02-24,28,18
용산구,2016-02-25,40,27
용산구,2016-02-26,45,32
용산구,2016-02-27,64,47
용산구,2016-02-28,41,32
용산구,2016-02-29,44,28
용산구,2016-03-01,27,18
용산구,2016-03-02,32,22
용산구,2016-03-03,44,29
용산구,2016-03-04,62,41
용산구,2016-03-05,23,16
용산구,2016-03-06,71,21
용산구,2016-03-07,84,26
용산구,2016-03-08,58,20
용산구,2016-03-09,34,15
용산구,2016-03-10,28,14
용산구,2016-03-11,30,17
용산구,2016-03-12,35,19
용산구,2016-03-13,53,35
용산구,2016-03-14,57,42
용산구,2016-03-15,50,30
용산구,2016-03-16,57,36
용산구,2016-03-17,62,41
용산구,2016-03-18,60,43
용산구,2016-03-19,66,42
용산구,2016-03-20,69,44
용산구,2016-03-21,73,49
용산구,2016-03-22,64,46
용산구,2016-03-23,74,54
용산구,2016-03-24,31,20
용산구,2016-03-25,55,35
용산구,2016-03-26,56,40
용산구,2016-03-27,58,43
용산구,2016-03-28,61,44
용산구,2016-03-29,83,55
용산구,2016-03-30,84,53
용산구,2016-03-31,42,24
용산구,2016-04-01,58,34
용산구,2016-04-02,67,43
용산구,2016-04-03,50,39
용산구,2016-04-04,22,13
용산구,2016-04-05,47,23
용산구,2016-04-06,62,40
용산구,2016-04-07,42,30
용산구,2016-04-08,64,40
용산구,2016-04-09,100,64
용산구,2016-04-10,120,74
용산구,2016-04-11,38,21
용산구,2016-04-12,46,27
용산구,2016-04-13,48,32
용산구,2016-04-14,52,34
용산구,2016-04-15,44,27
용산구,2016-04-16,42,23
용산구,2016-04-17,36,15
용산구,2016-04-18,50,22
용산구,2016-04-19,38,20
용산구,2016-04-20,51,29
용산구,2016-04-21,26,17
용산구,2016-04-22,72,47
용산구,2016-04-23,146,43
용산구,2016-04-24,107,25
용산구,2016-04-25,59,25
용산구,2016-04-26,59,28
용산구,2016-04-27,39,17
용산구,2016-04-28,45,20
용산구,2016-04-29,50,25
용산구,2016-04-30,65,36
용산구,2016-05-01,39,20
용산구,2016-05-02,39,22
용산구,2016-05-03,21,11
용산구,2016-05-04,38,12
용산구,2016-05-05,44,20
용산구,2016-05-06,40,21
용산구,2016-05-07,86,22
용산구,2016-05-08,41,16
용산구,2016-05-09,46,20
용산구,2016-05-10,29,15
용산구,2016-05-11,26,13
용산구,2016-05-12,26,15
용산구,2016-05-13,36,21
용산구,2016-05-14,31,18
용산구,2016-05-15,32,19
용산구,2016-05-16,32,16
용산구,2016-05-17,63,39
용산구,2016-05-18,48,31
용산구,2016-05-19,34,21
용산구,2016-05-20,43,29
용산구,2016-05-21,35,25
용산구,2016-05-22,48,37
용산구,2016-05-23,61,45
용산구,2016-05-24,32,23
용산구,2016-05-25,79,57
용산구,2016-05-26,99,70
용산구,2016-05-27,88,58
용산구,2016-05-28,69,41
용산구,2016-05-29,73,44
용산구,2016-05-30,87,56
용산구,2016-05-31,72,46
용산구,2016-06-01,37,22
용산구,2016-06-02,30,17
용산구,2016-06-03,40,25
용산구,2016-06-04,44,25
용산구,2016-06-05,42,26
용산구,2016-06-06,22,14
용산구,2016-06-07,42,26
용산구,2016-06-08,36,22
용산구,2016-06-09,50,31
용산구,2016-06-10,53,34
용산구,2016-06-11,44,27
용산구,2016-06-12,29,20
용산구,2016-06-13,63,35
용산구,2016-06-14,50,31
용산구,2016-06-15,37,21
용산구,2016-06-16,30,19
용산구,2016-06-17,51,34
용산구,2016-06-18,63,44
용산구,2016-06-19,40,26
용산구,2016-06-20,48,33
용산구,2016-06-21,54,39
용산구,2016-06-22,67,47
용산구,2016-06-23,40,27
용산구,2016-06-24,70,42
용산구,2016-06-25,33,20
용산구,2016-06-26,32,21
용산구,2016-06-27,32,21
용산구,2016-06-28,59,48
용산구,2016-06-29,35,27
용산구,2016-06-30,30,22
용산구,2016-07-01,24,17
용산구,2016-07-02,16,11
용산구,2016-07-03,38,28
용산구,2016-07-04,25,17
용산구,2016-07-05,19,10
용산구,2016-07-06,19,12
용산구,2016-07-07,38,26
용산구,2016-07-08,62,44
용산구,2016-07-09,40,25
용산구,2016-07-10,34,23
용산구,2016-07-11,49,36
용산구,2016-07-12,43,32
용산구,2016-07-13,30,18
용산구,2016-07-14,31,20
용산구,2016-07-15,18,11
용산구,2016-07-16,14,7
용산구,2016-07-17,17,11
용산구,2016-07-18,30,17
용산구,2016-07-19,38,23
용산구,2016-07-20,35,22
용산구,2016-07-21,32,20
용산구,2016-07-22,35,23
용산구,2016-07-23,45,31
용산구,2016-07-24,42,26
용산구,2016-07-25,47,33
용산구,2016-07-26,37,26
용산구,2016-07-27,38,25
용산구,2016-07-28,53,39
용산구,2016-07-29,51,38
용산구,2016-07-30,50,36
용산구,2016-07-31,42,32
용산구,2016-08-01,36,25
용산구,2016-08-02,32,20
용산구,2016-08-03,30,19
용산구,2016-08-04,32,21
용산구,2016-08-05,38,25
용산구,2016-08-06,56,42
용산구,2016-08-07,35,26
용산구,2016-08-08,39,28
용산구,2016-08-09,33,23
용산구,2016-08-10,82,52
용산구,2016-08-11,30,22
용산구,2016-08-12,41,30
용산구,2016-08-13,38,27
용산구,2016-08-14,37,30
용산구,2016-08-15,36,26
용산구,2016-08-16,42,29
용산구,2016-08-17,38,26
용산구,2016-08-18,48,35
용산구,2016-08-19,57,42
용산구,2016-08-20,30,22
용산구,2016-08-21,27,18
용산구,2016-08-22,29,20
용산구,2016-08-23,31,22
용산구,2016-08-24,33,23
용산구,2016-08-25,30,21
용산구,2016-08-26,13,8
용산구,2016-08-27,13,7
용산구,2016-08-28,12,7
용산구,2016-08-29,15,8
용산구,2016-08-30,24,11
용산구,2016-08-31,20,9
용산구,2016-09-01,52,30
용산구,2016-09-02,32,24
용산구,2016-09-03,20,15
용산구,2016-09-04,22,14
용산구,2016-09-05,27,17
용산구,2016-09-06,50,34
용산구,2016-09-07,70,49
용산구,2016-09-08,44,28
용산구,2016-09-09,35,28
