구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
은평구,2016-01-01,60,36
은평구,2016-01-02,44,23
은평구,2016-01-03,93,46
은평구,2016-01-04,87,49
은평구,2016-01-05,33,15
은평구,2016-01-06,49,25
은평구,2016-01-07,42,19
은평구,2016-01-08,35,15
은평구,2016-01-09,36,21
은평구,2016-01-10,32,17
은평구,2016-01-11,39,21
은평구,2016-01-12,46,24
은평구,2016-01-13,35,20
은평구,2016-01-14,37,18
은평구,2016-01-15,41,25
은평구,2016-01-16,58,37
은평구,2016-01-17,59,40
은평구,2016-01-18,51,30
은평구,2016-01-19,30,11
은평구,2016-01-20,38,22
은평구,2016-01-21,43,28
은평구,2016-01-22,51,29
은평구,2016-01-23,31,15
은평구,2016-01-24,38,20
은평구,2016-01-25,49,17
은평구,2016-01-26,76,34
은평구,2016-01-27,61,31
은평구,2016-01-28,48,23
은평구,2016-01-29,45,22
은평구,2016-01-30,36,23
은평구,2016-01-31,38,20
은평구,2016-02-01,38,19
은평구,2016-02-02,43,21
은평구,2016-02-03,49,26
은평구,2016-02-04,51,25
은평구,2016-02-05,43,18
은평구,2016-02-06,50,25
은평구,2016-02-07,42,22
은평구,2016-02-08,65,36
은평구,2016-02-09,53,28
은평구,2016-02-10,31,17
은평구,2016-02-11,38,18
은평구,2016-02-12,30,17
은평구,2016-02-13,9,6
은평구,2016-02-14,28,16
은평구,2016-02-15,31,11
은평구,2016-02-16,26,15
은평구,2016-02-17,35,14
은평구,2016-02-18,39,19
은평구,2016-02-19,75,40
은평구,2016-02-20,31,16
은평구,2016-02-21,26,12
은평구,2016-02-22,41,18
은평구,2016-02-23,56,29
은평구,2016-02-24,32,17
은평구,2016-02-25,49,27
은평구,2016-02-26,52,30
은평구,2016-02-27,73,42
은평구,2016-02-28,39,25
은평구,2016-02-29,55,29
은평구,2016-03-01,32,19
은평구,2016-03-02,35,20
은평구,2016-03-03,53,27
은평구,2016-03-04,61,32
은평구,2016-03-05,24,17
은평구,2016-03-06,96,25
은평구,2016-03-07,106,28
은평구,2016-03-08,86,25
은평구,2016-03-09,44,16
은평구,2016-03-10,36,16
은평구,2016-03-11,36,19
은평구,2016-03-12,41,18
은평구,2016-03-13,59,32
은평구,2016-03-14,66,39
은평구,2016-03-15,56,24
은평구,2016-03-16,59,27
은평구,2016-03-17,65,29
은평구,2016-03-18,54,28
은평구,2016-03-19,76,38
은평구,2016-03-20,80,41
은평구,2016-03-21,87,45
은평구,2016-03-22,76,45
은평구,2016-03-23,79,43
은평구,2016-03-24,44,22
은평구,2016-03-25,71,34
은평구,2016-03-26,67,39
은평구,2016-03-27,67,38
은평구,2016-03-28,63,34
은평구,2016-03-29,97,46
은평구,2016-03-30,94,41
은평구,2016-03-31,49,18
은평구,2016-04-01,66,23
은평구,2016-04-02,77,36
은평구,2016-04-03,50,30
은평구,2016-04-04,30,12
은평구,2016-04-05,60,21
은평구,2016-04-06,72,30
은평구,2016-04-07,43,22
은평구,2016-04-08,75,36
은평구,2016-04-09,113,45
은평구,2016-04-10,122,55
은평구,2016-04-11,51,21
은평구,2016-04-12,58,24
은평구,2016-04-13,56,28
은평구,2016-04-14,55,27
은평구,2016-04-15,53,26
은평구,2016-04-16,48,22
은평구,2016-04-17,47,16
은평구,2016-04-18,61,21
은평구,2016-04-19,44,18
은평구,2016-04-20,60,26
은평구,2016-04-21,29,16
은평구,2016-04-22,78,39
은평구,2016-04-23,186,33
은평구,2016-04-24,132,21
