구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
종로구,2016-01-01,70,53
종로구,2016-01-02,52,36
종로구,2016-01-03,95,66
종로구,2016-01-04,89,62
종로구,2016-01-05,28,17
종로구,2016-01-06,49,31
종로구,2016-01-07,38,23
종로구,2016-01-08,33,21
종로구,2016-01-09,35,23
종로구,2016-01-10,33,23
종로구,2016-01-11,37,26
종로구,2016-01-12,47,30
종로구,2016-01-13,38,25
종로구,2016-01-14,43,25
종로구,2016-01-15,51,38
종로구,2016-01-16,76,66
종로구,2016-01-17,77,71
종로구,2016-01-18,56,44
종로구,2016-01-19,32,13
종로구,2016-01-20,35,25
종로구,2016-01-21,49,37
종로구,2016-01-22,53,38
종로구,2016-01-23,31,16
종로구,2016-01-24,38,23
종로구,2016-01-25,47,18
종로구,2016-01-26,77,49
종로구,2016-01-27,55,38
종로구,2016-01-28,53,34
종로구,2016-01-29,51,34
종로구,2016-01-30,37,26
종로구,2016-01-31,40,25
종로구,2016-02-01,38,21
종로구,2016-02-02,42,25
종로구,2016-02-03,57,39
종로구,2016-02-04,56,41
종로구,2016-02-05,41,22
종로구,2016-02-06,48,28
종로구,2016-02-07,49,29
종로구,2016-02-08,67,47
종로구,2016-02-09,55,35
종로구,2016-02-10,37,23
종로구,2016-02-11,46,28
종로구,2016-02-12,36,25
종로구,2016-02-13,15,7
종로구,2016-02-14,30,19
종로구,2016-02-15,33,10
종로구,2016-02-16,27,15
종로구,2016-02-17,38,14
종로구,2016-02-18,44,24
종로구,2016-02-19,84,55
종로구,2016-02-20,44,19
종로구,2016-02-21,26,10
종로구,2016-02-22,41,17
종로구,2016-02-23,56,35
종로구,2016-02-24,33,18
종로구,2016-02-25,49,30
종로구,2016-02-26,52,37
종로구,2016-02-27,74,58
종로구,2016-02-28,49,37
종로구,2016-02-29,54,34
종로구,2016-03-01,32,20
종로구,2016-03-02,39,24
종로구,2016-03-03,55,36
종로구,2016-03-04,72,50
종로구,2016-03-05,26,15
종로구,2016-03-06,82,21
종로구,2016-03-07,104,30
종로구,2016-03-08,70,22
종로구,2016-03-09,41,13
종로구,2016-03-10,35,13
종로구,2016-03-11,34,18
종로구,2016-03-12,44,21
종로구,2016-03-13,61,40
종로구,2016-03-14,64,54
종로구,2016-03-15,56,34
종로구,2016-03-16,61,39
종로구,2016-03-17,73,51
종로구,2016-03-18,66,48
종로구,2016-03-19,73,51
종로구,2016-03-20,77,54
종로구,2016-03-21,87,66
종로구,2016-03-22,75,62
종로구,2016-03-23,86,69
종로구,2016-03-24,36,22
종로구,2016-03-25,66,43
종로구,2016-03-26,64,50
종로구,2016-03-27,68,54
종로구,2016-03-28,72,56
종로구,2016-03-29,97,72
종로구,2016-03-30,94,65
종로구,2016-03-31,47,24
종로구,2016-04-01,70,38
종로구,2016-04-02,77,50
종로구,2016-04-03,56,43
종로구,2016-04-04,26,10
종로구,2016-04-05,59,25
종로구,2016-04-06,77,47
종로구,2016-04-07,46,31
종로구,2016-04-08,74,46
종로구,2016-04-09,119,78
종로구,2016-04-10,138,93
종로구,2016-04-11,45,24
종로구,2016-04-12,54,30
종로구,2016-04-13,57,37
종로구,2016-04-14,58,37
종로구,2016-04-15,51,30
종로구,2016-04-16,49,27
종로구,2016-04-17,39,18
종로구,2016-04-18,60,24
종로구,2016-04-19,42,21
종로구,2016-04-20,59,34
종로구,2016-04-21,26,16
종로구,2016-04-22,79,55
종로구,2016-04-23,170,50
종로구,2016-04-24,128,24
종로구,2016-04-25,65,24
종로구,2016-04-26,70,29
종로구,2016-04-27,45,16
종로구,2016-04-28,50,20
종로구,2016-04-29,51,25
종로구,2016-04-30,74,43
종로구,2016-05-01,44,21
종로구,2016-05-02,43,22
종로구,2016-05-03,22,10
종로구,2016-05-04,49,8
종로구,2016-05-05,50,20
종로구,2016-05-06,43,23
종로구,2016-05-07,104,22
종로구,2016-05-08,47,14
종로구,2016-05-09,49,19
종로구,2016-05-10,29,13
종로구,2016-05-11,25,10
종로구,2016-05-12,28,14
종로구,2016-05-13,37,22
종로구,2016-05-14,33,17
종로구,2016-05-15,32,23
종로구,2016-05-16,31,17
종로구,2016-05-17,70,45
종로구,2016-05-18,45,28
종로구,2016-05-19,36,20
종로구,2016-05-20,47,31
종로구,2016-05-21,34,26
종로구,2016-05-22,47,38
종로구,2016-05-23,62,48
종로구,2016-05-24,31,23
종로구,2016-05-25,88,71
종로구,2016-05-26,110,89
종로구,2016-05-27,93,72
종로구,2016-05-28,74,47
종로구,2016-05-29,76,44
종로구,2016-05-30,85,58
종로구,2016-05-31,80,55
종로구,2016-06-01,37,20
종로구,2016-06-02,28,12
종로구,2016-06-03,41,23
종로구,2016-06-04,44,25
종로구,2016-06-05,45,27
종로구,2016-06-06,20,11
종로구,2016-06-07,40,26
종로구,2016-06-08,37,24
종로구,2016-06-09,49,29
종로구,2016-06-10,56,37
종로구,2016-06-11,46,30
종로구,2016-06-12,29,19
종로구,2016-06-13,63,38
종로구,2016-06-14,48,31
종로구,2016-06-15,36,23
종로구,2016-06-16,29,17
종로구,2016-06-17,54,38
종로구,2016-06-18,67,52
종로구,2016-06-19,37,26
