구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
중구,2016-01-01,63,36
중구,2016-01-02,46,25
중구,2016-01-03,83,48
중구,2016-01-04,74,41
중구,2016-01-05,29,13
중구,2016-01-06,61,23
중구,2016-01-07,40,19
중구,2016-01-08,31,14
중구,2016-01-09,34,17
중구,2016-01-10,30,16
중구,2016-01-11,39,19
중구,2016-01-12,48,21
중구,2016-01-13,34,16
중구,2016-01-14,42,18
중구,2016-01-15,46,23
중구,2016-01-16,67,35
중구,2016-01-17,70,42
중구,2016-01-18,60,29
중구,2016-01-19,41,11
중구,2016-01-20,34,17
중구,2016-01-21,44,22
중구,2016-01-22,51,26
중구,2016-01-23,32,12
중구,2016-01-24,38,18
중구,2016-01-25,48,15
중구,2016-01-26,79,34
중구,2016-01-27,59,27
중구,2016-01-28,52,24
중구,2016-01-29,45,22
중구,2016-01-30,39,22
중구,2016-01-31,39,20
중구,2016-02-01,38,17
중구,2016-02-02,41,14
중구,2016-02-03,54,24
중구,2016-02-04,50,25
중구,2016-02-05,39,16
중구,2016-02-06,48,22
중구,2016-02-07,48,20
중구,2016-02-08,70,34
중구,2016-02-09,57,27
중구,2016-02-10,40,19
중구,2016-02-11,45,23
중구,2016-02-12,36,18
중구,2016-02-13,14,9
중구,2016-02-14,28,14
중구,2016-02-15,34,9
중구,2016-02-16,28,14
중구,2016-02-17,38,13
중구,2016-02-18,45,19
중구,2016-02-19,78,35
중구,2016-02-20,44,14
중구,2016-02-21,26,9
중구,2016-02-22,44,15
중구,2016-02-23,65,29
중구,2016-02-24,32,17
중구,2016-02-25,78,32
중구,2016-02-26,48,24
중구,2016-02-27,65,35
중구,2016-02-28,40,22
중구,2016-02-29,55,23
중구,2016-03-01,32,16
중구,2016-03-02,29,14
중구,2016-03-03,86,35
중구,2016-03-04,69,31
중구,2016-03-05,28,16
중구,2016-03-06,83,21
중구,2016-03-07,116,26
중구,2016-03-08,82,19
중구,2016-03-09,46,12
중구,2016-03-10,34,12
중구,2016-03-11,33,14
중구,2016-03-12,39,16
중구,2016-03-13,53,27
중구,2016-03-14,54,34
중구,2016-03-15,48,21
중구,2016-03-16,52,24
중구,2016-03-17,63,30
중구,2016-03-18,54,29
중구,2016-03-19,64,34
중구,2016-03-20,73,37
중구,2016-03-21,76,40
중구,2016-03-22,62,37
중구,2016-03-23,68,36
중구,2016-03-24,34,18
중구,2016-03-25,64,31
중구,2016-03-26,57,34
중구,2016-03-27,56,33
중구,2016-03-28,56,31
중구,2016-03-29,80,42
중구,2016-03-30,80,39
중구,2016-03-31,43,17
중구,2016-04-01,59,23
중구,2016-04-02,67,32
중구,2016-04-03,41,26
중구,2016-04-04,26,10
중구,2016-04-05,51,18
중구,2016-04-06,65,30
중구,2016-04-07,35,21
중구,2016-04-08,68,35
중구,2016-04-09,109,53
중구,2016-04-10,123,66
중구,2016-04-11,51,23
중구,2016-04-12,60,27
중구,2016-04-13,56,30
중구,2016-04-14,59,31
중구,2016-04-15,54,26
중구,2016-04-16,56,26
중구,2016-04-17,47,16
중구,2016-04-18,67,22
중구,2016-04-19,46,20
중구,2016-04-20,65,29
중구,2016-04-21,27,16
중구,2016-04-22,77,45
중구,2016-04-23,200,43
중구,2016-04-24,165,29
중구,2016-04-25,77,24
중구,2016-04-26,82,31
중구,2016-04-27,55,19
중구,2016-04-28,57,19
중구,2016-04-29,64,26
중구,2016-04-30,77,35
중구,2016-05-01,46,21
중구,2016-05-02,48,25
중구,2016-05-03,20,11
중구,2016-05-04,51,12
중구,2016-05-05,58,23
중구,2016-05-06,43,23
중구,2016-05-07,116,24
중구,2016-05-08,56,17
중구,2016-05-09,59,21
중구,2016-05-10,36,17
중구,2016-05-11,28,12
중구,2016-05-12,29,15
중구,2016-05-13,39,22
중구,2016-05-14,37,18
중구,2016-05-15,34,19
중구,2016-05-16,34,16
중구,2016-05-17,66,33
중구,2016-05-18,47,25
중구,2016-05-19,39,21
중구,2016-05-20,52,28
중구,2016-05-21,39,26
중구,2016-05-22,57,37
중구,2016-05-23,68,43
중구,2016-05-24,32,23
중구,2016-05-25,89,57
중구,2016-05-26,101,63
중구,2016-05-27,84,44
중구,2016-05-28,79,38
중구,2016-05-29,88,42
중구,2016-05-30,93,55
중구,2016-05-31,79,45
중구,2016-06-01,44,23
중구,2016-06-02,37,17
중구,2016-06-03,47,24
중구,2016-06-04,52,25
중구,2016-06-05,55,27
중구,2016-06-06,24,13
중구,2016-06-07,39,24
중구,2016-06-08,38,24
중구,2016-06-09,52,28
중구,2016-06-10,62,35
중구,2016-06-11,46,28
중구,2016-06-12,28,19
중구,2016-06-13,61,34
중구,2016-06-14,53,29
중구,2016-06-15,36,21
중구,2016-06-16,28,17
중구,2016-06-17,53,34
중구,2016-06-18,64,41
중구,2016-06-19,40,26
중구,2016-06-20,51,33
중구,2016-06-21,61,40
중구,2016-06-22,65,47
중구,2016-06-23,42,31
중구,2016-06-24,41,25
중구,2016-06-25,32,17
중구,2016-06-26,31,19
중구,2016-06-27,35,22
중구,2016-06-28,60,41
중구,2016-06-29,42,27
중구,2016-06-30,29,19
중구,2016-07-01,23,15
중구,2016-07-02,14,8
중구,2016-07-03,40,28
중구,2016-07-04,25,16
중구,2016-07-05,13,4
중구,2016-07-06,17,9
중구,2016-07-07,40,24
중구,2016-07-08,56,36
중구,2016-07-09,39,22
중구,2016-07-10,36,21
중구,2016-07-11,57,37
중구,2016-07-12,33,22
중구,2016-07-13,30,16
중구,2016-07-14,31,19
중구,2016-07-15,22,11
중구,2016-07-16,12,7
중구,2016-07-17,15,10
중구,2016-07-18,26,16
중구,2016-07-19,38,23
중구,2016-07-20,42,26
중구,2016-07-21,37,23
중구,2016-07-22,40,25
중구,2016-07-23,43,28
중구,2016-07-24,35,23
중구,2016-07-25,41,29
중구,2016-07-26,34,23
중구,2016-07-27,34,23
중구,2016-07-28,57,38
중구,2016-07-29,43,20
중구,2016-07-30,39,17
중구,2016-07-31,35,26
중구,2016-08-01,31,19
중구,2016-08-02,26,16
중구,2016-08-03,32,18
중구,2016-08-04,31,18
중구,2016-08-05,41,26
중구,2016-08-06,64,38
중구,2016-08-07,36,20
중구,2016-08-08,43,20
중구,2016-08-09,33,22
중구,2016-08-10,74,45
중구,2016-08-11,34,17
중구,2016-08-12,45,22
중구,2016-08-13,36,12
중구,2016-08-14,35,26
중구,2016-08-15,38,23
중구,2016-08-16,49,30
