구분,일시,미세먼지(PM10),초미세먼지(PM2.5)
중랑구,2016-01-01,67,42
중랑구,2016-01-02,50,29
중랑구,2016-01-03,89,52
중랑구,2016-01-04,86,49
중랑구,2016-01-05,30,16
중랑구,2016-01-06,59,32
중랑구,2016-01-07,44,22
중랑구,2016-01-08,33,17
중랑구,2016-01-09,38,19
중랑구,2016-01-10,31,18
중랑구,2016-01-11,38,19
중랑구,2016-01-12,55,26
중랑구,2016-01-13,42,21
중랑구,2016-01-14,45,20
중랑구,2016-01-15,52,28
중랑구,2016-01-16,68,41
중랑구,2016-01-17,65,43
중랑구,2016-01-18,55,32
중랑구,2016-01-19,33,12
중랑구,2016-01-20,42,24
중랑구,2016-01-21,56,32
중랑구,2016-01-22,60,32
중랑구,2016-01-23,33,14
중랑구,2016-01-24,40,20
중랑구,2016-01-25,50,17
중랑구,2016-01-26,81,37
중랑구,2016-01-27,65,30
중랑구,2016-01-28,56,26
중랑구,2016-01-29,56,27
중랑구,2016-01-30,35,22
중랑구,2016-01-31,40,20
중랑구,2016-02-01,42,18
중랑구,2016-02-02,49,22
중랑구,2016-02-03,60,33
중랑구,2016-02-04,59,32
중랑구,2016-02-05,46,19
중랑구,2016-02-06,52,25
중랑구,2016-02-07,54,25
중랑구,2016-02-08,72,39
중랑구,2016-02-09,57,28
중랑구,2016-02-10,39,20
중랑구,2016-02-11,42,21
중랑구,2016-02-12,35,19
중랑구,2016-02-13,16,10
중랑구,2016-02-14,27,18
중랑구,2016-02-15,34,11
중랑구,2016-02-16,29,14
중랑구,2016-02-17,42,17
중랑구,2016-02-18,49,21
중랑구,2016-02-19,92,42
중랑구,2016-02-20,49,17
중랑구,2016-02-21,27,12
중랑구,2016-02-22,45,17
중랑구,2016-02-23,56,25
중랑구,2016-02-24,37,17
중랑구,2016-02-25,51,24
중랑구,2016-02-26,49,25
중랑구,2016-02-27,73,38
중랑구,2016-02-28,44,26
중랑구,2016-02-29,59,27
중랑구,2016-03-01,37,19
중랑구,2016-03-02,38,21
중랑구,2016-03-03,55,26
중랑구,2016-03-04,71,31
중랑구,2016-03-05,24,14
중랑구,2016-03-06,84,18
중랑구,2016-03-07,111,25
중랑구,2016-03-08,67,19
중랑구,2016-03-09,52,17
중랑구,2016-03-10,38,16
중랑구,2016-03-11,36,14
중랑구,2016-03-12,48,18
중랑구,2016-03-13,66,31
중랑구,2016-03-14,70,44
중랑구,2016-03-15,58,24
중랑구,2016-03-16,68,29
중랑구,2016-03-17,77,37
중랑구,2016-03-18,70,32
중랑구,2016-03-19,78,37
중랑구,2016-03-20,81,39
중랑구,2016-03-21,87,45
중랑구,2016-03-22,74,39
중랑구,2016-03-23,86,47
중랑구,2016-03-24,37,18
중랑구,2016-03-25,69,30
중랑구,2016-03-26,69,40
중랑구,2016-03-27,71,40
중랑구,2016-03-28,70,38
중랑구,2016-03-29,98,48
중랑구,2016-03-30,46,43
중랑구,2016-03-31,47,18
중랑구,2016-04-01,68,28
중랑구,2016-04-02,75,37
중랑구,2016-04-03,52,34
중랑구,2016-04-04,24,10
중랑구,2016-04-05,57,24
중랑구,2016-04-06,69,32
중랑구,2016-04-07,39,22
중랑구,2016-04-08,89,44
중랑구,2016-04-09,144,73
중랑구,2016-04-10,167,86
중랑구,2016-04-11,46,19
중랑구,2016-04-12,60,25
중랑구,2016-04-13,62,34
중랑구,2016-04-14,65,35
중랑구,2016-04-15,59,28
중랑구,2016-04-16,58,25
중랑구,2016-04-17,48,16
중랑구,2016-04-18,74,19
중랑구,2016-04-19,50,20
중랑구,2016-04-20,68,31
중랑구,2016-04-21,32,18
중랑구,2016-04-22,87,49
중랑구,2016-04-23,213,43
중랑구,2016-04-24,162,29
중랑구,2016-04-25,84,26
중랑구,2016-04-26,85,29
중랑구,2016-04-27,57,18
중랑구,2016-04-28,63,21
중랑구,2016-04-29,69,27
중랑구,2016-04-30,85,40
중랑구,2016-05-01,51,23
중랑구,2016-05-02,53,26
중랑구,2016-05-03,18,10
중랑구,2016-05-04,52,10
중랑구,2016-05-05,60,21
중랑구,2016-05-06,50,25
중랑구,2016-05-07,134,27
중랑구,2016-05-08,57,17
중랑구,2016-05-09,62,21
중랑구,2016-05-10,38,17
중랑구,2016-05-11,31,15
중랑구,2016-05-12,32,16
중랑구,2016-05-13,40,22
중랑구,2016-05-14,37,19
중랑구,2016-05-15,39,22
중랑구,2016-05-16,34,17
중랑구,2016-05-17,68,36
중랑구,2016-05-18,55,31
중랑구,2016-05-19,39,22
중랑구,2016-05-20,42,27
중랑구,2016-05-21,40,28
중랑구,2016-05-22,54,40
중랑구,2016-05-23,68,49
중랑구,2016-05-24,37,25
중랑구,2016-05-25,89,67
중랑구,2016-05-26,118,86
중랑구,2016-05-27,97,61
중랑구,2016-05-28,77,46
중랑구,2016-05-29,81,45
중랑구,2016-05-30,95,62
중랑구,2016-05-31,91,56
중랑구,2016-06-01,43,24
중랑구,2016-06-02,33,17
중랑구,2016-06-03,47,27
중랑구,2016-06-04,55,31
중랑구,2016-06-05,51,29
중랑구,2016-06-06,26,15
중랑구,2016-06-07,39,26
중랑구,2016-06-08,40,26
중랑구,2016-06-09,46,28
중랑구,2016-06-10,64,40
중랑구,2016-06-11,53,32
중랑구,2016-06-12,29,22
중랑구,2016-06-13,61,38
중랑구,2016-06-14,53,33
중랑구,2016-06-15,34,23
중랑구,2016-06-16,31,20
중랑구,2016-06-17,53,37
중랑구,2016-06-18,62,45
중랑구,2016-06-19,41,30
중랑구,2016-06-20,49,35
중랑구,2016-06-21,65,45
중랑구,2016-06-22,67,46
중랑구,2016-06-23,38,27
중랑구,2016-06-24,60,31
중랑구,2016-06-25,32,18
중랑구,2016-06-26,32,20
중랑구,2016-06-27,36,21
중랑구,2016-06-28,58,39
중랑구,2016-06-29,40,28
중랑구,2016-06-30,31,20
중랑구,2016-07-01,21,14
중랑구,2016-07-02,16,9
중랑구,2016-07-03,38,28
중랑구,2016-07-04,23,14
중랑구,2016-07-05,13,9
중랑구,2016-07-06,20,9
중랑구,2016-07-07,41,28
중랑구,2016-07-08,54,34
중랑구,2016-07-09,40,24
중랑구,2016-07-10,38,25
중랑구,2016-07-11,57,41
중랑구,2016-07-12,41,31
중랑구,2016-07-13,33,20
중랑구,2016-07-14,25,16
중랑구,2016-07-15,20,10
중랑구,2016-07-16,9,5
중랑구,2016-07-17,14,10
중랑구,2016-07-18,29,18
중랑구,2016-07-19,32,19
중랑구,2016-07-20,36,21
중랑구,2016-07-21,33,21
중랑구,2016-07-22,38,24
중랑구,2016-07-23,44,30
중랑구,2016-07-24,40,27
중랑구,2016-07-25,43,34
중랑구,2016-07-26,33,26
중랑구,2016-07-27,34,25
중랑구,2016-07-28,53,42
중랑구,2016-07-29,45,30
중랑구,2016-07-30,41,34
중랑구,2016-07-31,39,27
중랑구,2016-08-01,33,23
중랑구,2016-08-02,28,16
중랑구,2016-08-03,31,17
중랑구,2016-08-04,31,19
중랑구,2016-08-05,40,25
중랑구,2016-08-06,59,37
중랑구,2016-08-07,43,31
중랑구,2016-08-08,42,27
중랑구,2016-08-09,30,21
중랑구,2016-08-10,67,46
중랑구,2016-08-11,34,20
중랑구,2016-08-12,44,30
중랑구,2016-08-13,40,28
중랑구,2016-08-14,36,29
중랑구,2016-08-15,35,26
중랑구,2016-08-16,50,31
중랑구,2016-08-17,41,26
중랑구,2016-08-18,59,38
중랑구,2016-08-19,63,47
중랑구,2016-08-20,35,21
중랑구,2016-08-21,27,17
중랑구,2016-08-22,30,21
중랑구,2016-08-23,32,23
중랑구,2016-08-24,44,28
중랑구,2016-08-25,37,24
중랑구,2016-08-26,15,7
중랑구,2016-08-27,14,4
중랑구,2016-08-28,12,5
중랑구,2016-08-29,18,7
중랑구,2016-08-30,29,11
중랑구,2016-08-31,20,8
중랑구,2016-09-01,67,35
중랑구,2016-09-02,39,26
중랑구,2016-09-03,23,13
중랑구,2016-09-04,24,14
중랑구,2016-09-05,30,19
중랑구,2016-09-06,63,38
중랑구,2016-09-07,89,60
중랑구,2016-09-08,50,32
중랑구,2016-09-09,44,27
중랑구,2016-09-10,41,25
중랑구,2016-09-11,38,26
중랑구,2016-09-12,30,16
중랑구,2016-09-13,17,8
중랑구,2016-09-14,30,18
중랑구,2016-09-15,45,28
중랑구,2016-09-16,51,35
중랑구,2016-09-17,35,24
중랑구,2016-09-18,26,13
중랑구,2016-09-19,15,6
중랑구,2016-09-20,19,11
중랑구,2016-09-21,35,24
중랑구,2016-09-22,42,28
중랑구,2016-09-23,54,35
중랑구,2016-09-24,61,44
중랑구,2016-09-25,59,44
중랑구,2016-09-26,46,31
중랑구,2016-09-27,36,26
중랑구,2016-09-28,36,25
중랑구,2016-09-29,14,6
중랑구,2016-09-30,29,15
중랑구,2016-10-01,42,26
중랑구,2016-10-02,29,17
중랑구,2016-10-03,16,9
중랑구,2016-10-04,31,16
중랑구,2016-10-05,28,12
중랑구,2016-10-06,44,23
중랑구,2016-10-07,26,12
중랑구,2016-10-08,21,12
중랑구,2016-10-09,19,9
중랑구,2016-10-10,28,11
중랑구,2016-10-11,43,21
중랑구,2016-10-12,62,34
중랑구,2016-10-13,45,21
중랑구,2016-10-14,74,42
중랑구,2016-10-15,82,52
중랑구,2016-10-16,61,40
중랑구,2016-10-17,53,34
중랑구,2016-10-18,55,27
중랑구,2016-10-19,62,35
중랑구,2016-10-20,72,40
중랑구,2016-10-21,23,11
중랑구,2016-10-22,33,17
중랑구,2016-10-23,12,7
중랑구,2016-10-24,18,8
중랑구,2016-10-25,16,9
중랑구,2016-10-26,40,21
중랑구,2016-10-27,49,21
중랑구,2016-10-28,40,17
중랑구,2016-10-29,39,18
중랑구,2016-10-30,28,12
중랑구,2016-10-31,32,15
중랑구,2016-11-01,25,11
중랑구,2016-11-02,40,15
중랑구,2016-11-03,44,22
중랑구,2016-11-04,65,34
중랑구,2016-11-05,79,46
중랑구,2016-11-06,34,20
중랑구,2016-11-07,34,22
중랑구,2016-11-08,68,58
중랑구,2016-11-09,45,31
중랑구,2016-11-10,45,28
중랑구,2016-11-11,53,24
중랑구,2016-11-12,82,34
중랑구,2016-11-13,68,32
중랑구,2016-11-14,55,30
중랑구,2016-11-15,63,26
중랑구,2016-11-16,57,29
중랑구,2016-11-17,77,40
중랑구,2016-11-18,98,56
중랑구,2016-11-19,59,36
중랑구,2016-11-20,45,25
중랑구,2016-11-21,65,29
중랑구,2016-11-22,59,26
중랑구,2016-11-23,40,18
중랑구,2016-11-24,31,13
중랑구,2016-11-25,42,21
중랑구,2016-11-26,55,36
중랑구,2016-11-27,72,48
중랑구,2016-11-28,103,48
중랑구,2016-11-29,42,23
중랑구,2016-11-30,53,28
중랑구,2016-12-01,59,38
중랑구,2016-12-02,39,17
중랑구,2016-12-03,56,24
중랑구,2016-12-04,83,55
중랑구,2016-12-05,98,63
중랑구,2016-12-06,27,12
중랑구,2016-12-07,55,25
중랑구,2016-12-08,64,39
중랑구,2016-12-09,35,23
중랑구,2016-12-10,35,22
중랑구,2016-12-11,33,20
중랑구,2016-12-12,51,30
중랑구,2016-12-13,64,44
중랑구,2016-12-14,59,39
중랑구,2016-12-15,42,23
중랑구,2016-12-16,34,18
중랑구,2016-12-17,53,31
중랑구,2016-12-18,53,40
중랑구,2016-12-19,37,24
중랑구,2016-12-20,48,32
중랑구,2016-12-21,38,26
중랑구,2016-12-22,32,24
중랑구,2016-12-23,58,41
중랑구,2016-12-24,71,56
중랑구,2016-12-25,55,45
중랑구,2016-12-26,40,30
중랑구,2016-12-27,45,32
중랑구,2016-12-28,46,26
중랑구,2016-12-29,40,17
중랑구,2016-12-30,44,23
중랑구,2016-12-31,55,38
중랑구,2017-01-01,79,62
중랑구,2017-01-02,119,93
중랑구,2017-01-03,100,73
중랑구,2017-01-04,57,36
중랑구,2017-01-05,40,25
중랑구,2017-01-06,18,11
중랑구,2017-01-07,51,34
중랑구,2017-01-08,31,20
중랑구,2017-01-09,61,48
중랑구,2017-01-10,36,18
중랑구,2017-01-11,27,11
중랑구,2017-01-12,31,17
중랑구,2017-01-13,29,13
중랑구,2017-01-14,47,13
중랑구,2017-01-15,30,13
중랑구,2017-01-16,49,25
중랑구,2017-01-17,70,45
중랑구,2017-01-18,103,74
중랑구,2017-01-19,116,82
중랑구,2017-01-20,63,47
중랑구,2017-01-21,53,40
중랑구,2017-01-22,82,28
중랑구,2017-01-23,51,39
중랑구,2017-01-24,41,29
중랑구,2017-01-25,49,36
중랑구,2017-01-26,61,48
중랑구,2017-01-27,122,27
중랑구,2017-01-28,34,13
중랑구,2017-01-29,25,17
중랑구,2017-01-30,51,40
중랑구,2017-01-31,36,20
중랑구,2017-02-01,36,23
중랑구,2017-02-02,36,19
중랑구,2017-02-03,69,49
중랑구,2017-02-04,100,80
중랑구,2017-02-05,75,63
중랑구,2017-02-06,46,34
중랑구,2017-02-07,44,26
중랑구,2017-02-08,58,34
중랑구,2017-02-09,56,22
중랑구,2017-02-10,34,19
중랑구,2017-02-11,32,19
중랑구,2017-02-12,33,20
중랑구,2017-02-13,45,29
중랑구,2017-02-14,54,32
중랑구,2017-02-15,66,41
중랑구,2017-02-16,75,46
중랑구,2017-02-17,47,20
중랑구,2017-02-18,35,17
중랑구,2017-02-19,46,26
중랑구,2017-02-20,45,24
중랑구,2017-02-21,43,24
중랑구,2017-02-22,41,26
중랑구,2017-02-23,38,24
중랑구,2017-02-24,31,17
중랑구,2017-02-25,48,29
중랑구,2017-02-26,46,27
중랑구,2017-02-27,42,23
중랑구,2017-02-28,48,28
중랑구,2017-03-01,60,41
중랑구,2017-03-02,36,24
중랑구,2017-03-03,46,23
중랑구,2017-03-04,55,32
중랑구,2017-03-05,71,51
중랑구,2017-03-06,40,31
중랑구,2017-03-07,34,22
중랑구,2017-03-08,47,20
중랑구,2017-03-09,53,21
중랑구,2017-03-10,49,25
중랑구,2017-03-11,64,38
중랑구,2017-03-12,97,65
중랑구,2017-03-13,64,45
중랑구,2017-03-14,50,29
중랑구,2017-03-15,43,23
중랑구,2017-03-16,66,41
중랑구,2017-03-17,75,49
중랑구,2017-03-18,69,44
중랑구,2017-03-19,73,48
중랑구,2017-03-20,92,58
중랑구,2017-03-21,120,79
중랑구,2017-03-22,56,30
중랑구,2017-03-23,78,41
중랑구,2017-03-24,60,33
중랑구,2017-03-25,66,39
중랑구,2017-03-26,65,45
중랑구,2017-03-27,88,63
중랑구,2017-03-28,74,48
중랑구,2017-03-29,52,29
중랑구,2017-03-30,59,30
중랑구,2017-03-31,41,22
중랑구,2017-04-01,18,12
중랑구,2017-04-02,38,24
중랑구,2017-04-03,75,45
중랑구,2017-04-04,71,44
중랑구,2017-04-05,52,30
중랑구,2017-04-06,27,21
중랑구,2017-04-07,41,33
중랑구,2017-04-08,68,46
중랑구,2017-04-09,43,29
중랑구,2017-04-10,25,16
중랑구,2017-04-11,54,23
중랑구,2017-04-12,78,15
중랑구,2017-04-13,82,29
중랑구,2017-04-14,64,22
중랑구,2017-04-15,72,33
중랑구,2017-04-16,64,33
중랑구,2017-04-17,51,28
중랑구,2017-04-18,43,23
중랑구,2017-04-19,89,17
중랑구,2017-04-20,94,22
중랑구,2017-04-21,71,22
중랑구,2017-04-22,65,23
중랑구,2017-04-23,55,24
중랑구,2017-04-24,46,18
중랑구,2017-04-25,62,29
중랑구,2017-04-26,46,16
중랑구,2017-04-27,51,15
중랑구,2017-04-28,70,23
중랑구,2017-04-29,65,26
중랑구,2017-04-30,100,51
중랑구,2017-05-01,93,47
중랑구,2017-05-02,102,48
중랑구,2017-05-03,79,37
중랑구,2017-05-04,70,34
중랑구,2017-05-05,57,25
중랑구,2017-05-06,232,25
중랑구,2017-05-07,106,16
중랑구,2017-05-08,183,35
중랑구,2017-05-09,152,33
중랑구,2017-05-10,46,21
중랑구,2017-05-11,77,40
중랑구,2017-05-12,83,52
중랑구,2017-05-13,57,32
중랑구,2017-05-14,66,19
중랑구,2017-05-15,52,14
중랑구,2017-05-16,40,18
중랑구,2017-05-17,40,20
중랑구,2017-05-18,54,28
중랑구,2017-05-19,51,27
중랑구,2017-05-20,42,24
중랑구,2017-05-21,34,21
중랑구,2017-05-22,48,30
중랑구,2017-05-23,39,24
중랑구,2017-05-24,28,17
중랑구,2017-05-25,43,16
중랑구,2017-05-26,27,9
중랑구,2017-05-27,38,17
중랑구,2017-05-28,50,25
중랑구,2017-05-29,79,42
중랑구,2017-05-30,56,27
중랑구,2017-05-31,43,21
중랑구,2017-06-01,42,21
중랑구,2017-06-02,33,11
중랑구,2017-06-03,34,12
중랑구,2017-06-04,31,12
중랑구,2017-06-05,27,13
중랑구,2017-06-06,22,11
중랑구,2017-06-07,15,10
중랑구,2017-06-08,44,32
중랑구,2017-06-09,61,43
중랑구,2017-06-10,54,30
중랑구,2017-06-11,29,10
중랑구,2017-06-12,33,14
중랑구,2017-06-13,36,18
중랑구,2017-06-14,47,25
중랑구,2017-06-15,58,31
중랑구,2017-06-16,73,42
중랑구,2017-06-17,56,37
중랑구,2017-06-18,45,29
중랑구,2017-06-19,56,37
중랑구,2017-06-20,57,37
중랑구,2017-06-21,62,41
중랑구,2017-06-22,43,29
중랑구,2017-06-23,45,25
중랑구,2017-06-24,49,27
중랑구,2017-06-25,36,22
중랑구,2017-06-26,27,18
중랑구,2017-06-27,32,22
중랑구,2017-06-28,48,35
중랑구,2017-06-29,51,38
중랑구,2017-06-30,61,44
중랑구,2017-07-01,49,35
중랑구,2017-07-02,25,17
중랑구,2017-07-03,23,16
중랑구,2017-07-04,35,28
중랑구,2017-07-05,39,30
중랑구,2017-07-06,50,36
중랑구,2017-07-07,27,16
중랑구,2017-07-08,27,19
중랑구,2017-07-09,28,17
중랑구,2017-07-10,15,9
중랑구,2017-07-11,40,28
중랑구,2017-07-12,55,39
중랑구,2017-07-13,53,38
중랑구,2017-07-14,58,39
중랑구,2017-07-15,24,17
중랑구,2017-07-16,18,12
중랑구,2017-07-17,25,14
중랑구,2017-07-18,29,16
중랑구,2017-07-19,41,23
중랑구,2017-07-20,60,34
중랑구,2017-07-21,71,41
중랑구,2017-07-22,62,37
중랑구,2017-07-23,51,31
중랑구,2017-07-24,39,20
중랑구,2017-07-25,29,13
중랑구,2017-07-26,20,10
중랑구,2017-07-27,29,13
중랑구,2017-07-28,30,16
중랑구,2017-07-29,17,7
중랑구,2017-07-30,24,14
중랑구,2017-07-31,28,14
중랑구,2017-08-01,25,12
중랑구,2017-08-02,39,20
중랑구,2017-08-03,26,14
중랑구,2017-08-04,29,16
중랑구,2017-08-05,35,20
중랑구,2017-08-06,26,16
중랑구,2017-08-07,37,22
중랑구,2017-08-08,45,23
중랑구,2017-08-09,40,22
중랑구,2017-08-10,11,5
중랑구,2017-08-11,12,5
중랑구,2017-08-12,12,5
중랑구,2017-08-13,11,5
중랑구,2017-08-14,8,4
중랑구,2017-08-15,6,4
중랑구,2017-08-16,7,4
중랑구,2017-08-17,9,6
중랑구,2017-08-18,22,13
중랑구,2017-08-19,20,12
중랑구,2017-08-20,9,6
중랑구,2017-08-21,11,7
중랑구,2017-08-22,17,11
중랑구,2017-08-23,20,10
중랑구,2017-08-24,19,8
중랑구,2017-08-25,22,12
중랑구,2017-08-26,22,10
중랑구,2017-08-27,21,11
중랑구,2017-08-28,26,16
중랑구,2017-08-29,16,8
중랑구,2017-08-30,23,9
중랑구,2017-08-31,31,18
중랑구,2017-09-01,20,10
중랑구,2017-09-02,21,13
중랑구,2017-09-03,25,17
중랑구,2017-09-04,22,14
중랑구,2017-09-05,23,12
중랑구,2017-09-06,24,15
중랑구,2017-09-07,32,24
중랑구,2017-09-08,42,27
중랑구,2017-09-09,46,31
중랑구,2017-09-10,45,31
중랑구,2017-09-11,20,14
중랑구,2017-09-12,23,11
중랑구,2017-09-13,22,10
중랑구,2017-09-14,26,11
중랑구,2017-09-15,16,8
중랑구,2017-09-16,10,5
중랑구,2017-09-17,8,5
중랑구,2017-09-18,19,10
중랑구,2017-09-19,57,34
중랑구,2017-09-20,25,12
중랑구,2017-09-21,24,13
중랑구,2017-09-22,27,16
중랑구,2017-09-23,50,23
중랑구,2017-09-24,58,32
중랑구,2017-09-25,39,22
중랑구,2017-09-26,39,21
중랑구,2017-09-27,36,20
중랑구,2017-09-28,22,8
중랑구,2017-09-29,22,9
중랑구,2017-09-30,32,16
중랑구,2017-10-01,30,19
중랑구,2017-10-02,16,8
중랑구,2017-10-03,33,11
중랑구,2017-10-04,21,8
중랑구,2017-10-05,14,7
중랑구,2017-10-06,11,6
중랑구,2017-10-07,6,4
중랑구,2017-10-08,15,10
중랑구,2017-10-09,24,16
중랑구,2017-10-10,26,16
중랑구,2017-10-11,10,7
중랑구,2017-10-12,20,10
중랑구,2017-10-13,24,13
중랑구,2017-10-14,20,10
중랑구,2017-10-15,19,10
중랑구,2017-10-16,26,14
중랑구,2017-10-17,31,16
중랑구,2017-10-18,23,11
중랑구,2017-10-19,16,9
중랑구,2017-10-20,23,14
중랑구,2017-10-21,31,17
중랑구,2017-10-22,21,11
중랑구,2017-10-23,22,8
중랑구,2017-10-24,27,12
중랑구,2017-10-25,35,18
중랑구,2017-10-26,45,24
중랑구,2017-10-27,47,28
중랑구,2017-10-28,37,23
중랑구,2017-10-29,60,22
중랑구,2017-10-30,37,13
중랑구,2017-10-31,33,12
중랑구,2017-11-01,38,17
중랑구,2017-11-02,42,23
중랑구,2017-11-03,32,23
중랑구,2017-11-04,44,33
중랑구,2017-11-05,38,26
중랑구,2017-11-06,32,19
중랑구,2017-11-07,36,21
중랑구,2017-11-08,65,29
중랑구,2017-11-09,49,21
중랑구,2017-11-10,44,19
중랑구,2017-11-11,71,14
중랑구,2017-11-12,32,17
중랑구,2017-11-13,36,20
중랑구,2017-11-14,41,17
중랑구,2017-11-15,25,11
중랑구,2017-11-16,23,12
중랑구,2017-11-17,34,19
중랑구,2017-11-18,34,20
중랑구,2017-11-19,21,9
중랑구,2017-11-20,31,16
중랑구,2017-11-21,42,24
중랑구,2017-11-22,51,24
중랑구,2017-11-23,22,9
중랑구,2017-11-24,19,12
중랑구,2017-11-25,21,13
중랑구,2017-11-26,24,15
중랑구,2017-11-27,39,21
중랑구,2017-11-28,56,36
중랑구,2017-11-29,52,21
중랑구,2017-11-30,24,8
중랑구,2017-12-01,21,10
중랑구,2017-12-02,30,17
중랑구,2017-12-03,37,24
중랑구,2017-12-04,36,21
중랑구,2017-12-05,19,9
중랑구,2017-12-06,27,16
중랑구,2017-12-07,33,22
중랑구,2017-12-08,27,17
중랑구,2017-12-09,31,18
중랑구,2017-12-10,32,20
중랑구,2017-12-11,43,10
중랑구,2017-12-12,29,14
중랑구,2017-12-13,30,16
중랑구,2017-12-14,46,25
중랑구,2017-12-15,77,49
중랑구,2017-12-16,48,30
중랑구,2017-12-17,43,15
중랑구,2017-12-18,59,35
중랑구,2017-12-19,51,21
중랑구,2017-12-20,47,24
중랑구,2017-12-21,53,40
중랑구,2017-12-22,60,43
